pCD3z(),pSLP76(),pErk(),pS6()
3.93,12.11,16.55,14.42
32.58,23.26,32.92,42.09
13.6,18.39,7.23,18.24
24.42,1.78,0.42,72.01
8.12,18.1,10.87,21.83
8.5,11.78,3.91,5.4
14.67,6.55,3.96,5.91
3.1,6.98,13.22,20.68
11.46,6.08,15.25,19.55
13.96,32.54,11.55,20.13
11.98,6.55,20.84,24.78
4.1,27.2,13.48,43.19
5.69,1.75,3.25,5.12
11.26,6.61,9.18,24.76
26.56,17.57,9.82,24.03
12.06,18.3,22.25,38.52
22.1,7.36,3.08,46.47
8.22,7.87,4.79,16.4
13.66,22.06,9.91,10.93
14.83,12.44,21.27,50.97
13.46,7.43,4.18,6.84
8.66,3.2,2.11,3.45
12.13,19.92,4.53,16.06
16.12,9.33,6.26,9.73
5.67,2.16,0.06,3.59
1.93,0.38,3.6,6.83
16.96,5.17,1.97,3.22
12.83,18.19,4.96,10.7
3.06,8.65,6.02,9.21
0.15,8.13,4.63,72.89
6.42,18.36,6.68,20.32
11.29,11.06,9.59,14.44
4.55,9.14,3.34,11.88
10.56,9.46,9.08,9.55
12.79,5.84,2.26,11.64
5.31,18.27,13.59,70.73
0.34,13.86,4.41,6.5
1.05,0.09,0.72,9.88
4.18,16.17,12.07,19.38
6.4,0.75,2.22,3.52
8.95,18.93,7.32,9.75
4.39,8.83,3.72,24.18
21.61,4.15,2.48,7.61
2.84,3.52,4.16,20.71
10.14,12.16,3.2,5.34
18.16,13.03,9.88,29.68
6.31,2.51,6.96,17.71
11.01,9.67,3.64,6.17
1.22,2.92,5.13,12.2
7.13,5.08,6.42,20.78
24.23,63.69,21.02,28.76
2.23,1.82,0.89,12.99
23.52,9.53,7.93,11.65
15.47,4.19,5.27,26.17
11.51,10.25,1.14,8.35
5.04,12.12,9.71,19.96
9.06,9.4,2.89,14.32
5.93,30.86,18.4,25.94
7.26,10.62,6.55,14.4
5.63,8.92,-0.11,6.63
5.6,13.11,6.42,10.37
2.02,5.11,4.53,67.69
9.75,3.24,3.66,12.01
13.01,10.24,6.04,5.27
13.7,3.69,1.35,6.3
20.35,9.39,8.23,37.25
1.26,8.67,4.56,16.32
11.33,20.59,10.07,12.57
31.72,45.24,25.8,25.2
4.4,23.28,11.31,8.46
11.65,1.95,2,15.96
4.55,14.33,8.16,12.21
2.51,6.4,2.35,7.29
23.15,25.85,8.75,8.2
11.87,20.07,5.76,21.4
17.25,20.02,4.24,7.1
6.61,11.27,4.24,16.53
7.74,40.4,16.41,8.98
8,12.89,17.9,35.21
8.51,10.21,21.76,29.79
10.1,7.99,2.77,6.74
33.74,56.67,22.56,36.86
7.24,4.27,8.68,16.47
-0.69,4.08,3.07,7.18
4.66,7.56,7.26,19.24
24.16,21.85,2.63,-0.07
10.73,13.54,4.58,16.05
37.66,40.29,19.37,20.5
3.4,9.79,2.79,9.49
1.82,4.55,5.18,12.46
21.09,5.77,1.63,2.78
6.18,4.56,3.34,15.22
14.18,4.83,7.09,63.37
7.86,11.73,30.24,53.6
15.86,18.85,5.59,2.76
2.83,18.73,9.98,12.18
28.34,11.78,9.73,39.81
9.79,15.77,9.41,16.7
10.85,6.34,2.56,20.37
6.8,21.82,6.49,36.13
6.88,8.79,2.06,-0.03
2.01,3.05,6.48,15.33
9.82,29.75,6.23,8.51
11.18,31.67,10.7,12.32
6.94,4.83,2.49,6.11
11.7,6.89,4.21,5.41
1.95,15.71,3.54,15.55
9.09,9.53,8.41,12.49
5.9,3.33,2.3,9.35
8.91,9.25,6.61,8.57
22.45,3.92,5.66,21.58
17.67,30.53,7.34,13.86
