pCD3z(),pSLP76(),pErk(),pS6()
22.58,18.26,23.92,33.09
13.6,8.39,11.23,12.24
18.42,8.78,2.42,75.01
11.12,7.1,6.87,26.83
10.5,7.78,1.91,10.4
11.67,8.55,1.96,7.91
7.1,7.98,12.22,13.68
13.46,5.08,6.25,13.55
12.96,20.54,19.55,28.13
11.98,5.55,13.84,21.78
3.1,11.2,8.48,65.19
7.69,2.75,0.25,9.12
10.26,2.61,5.18,24.76
24.56,14.57,12.82,18.03
11.06,13.3,20.25,24.52
15.1,7.36,10.08,57.47
3.22,9.87,3.79,20.4
12.66,5.06,17.91,13.93
11.83,13.44,12.27,44.97
13.46,7.43,4.18,5.84
4.66,6.2,2.11,6.45
11.13,10.92,6.53,31.06
11.12,6.33,6.26,12.73
4.67,3.16,0.06,8.59
2.93,0.38,2.6,1.83
17.96,2.17,-0.03,5.22
8.83,17.19,12.96,12.7
1.06,6.65,4.02,9.21
0.15,2.13,6.63,77.89
8.42,5.36,13.68,33.32
6.29,6.06,10.59,18.44
4.55,5.14,3.34,13.88
5.56,9.46,6.08,6.55
14.79,4.84,5.26,15.64
5.31,10.27,11.59,85.73
0.34,7.86,5.41,11.5
2.05,2.09,0.72,13.88
2.18,9.17,6.07,15.38
3.4,1.75,0.22,1.52
5.95,11.93,12.32,9.75
4.39,5.83,5.72,21.18
14.61,10.15,4.48,15.61
6.84,6.52,3.16,19.71
9.14,17.16,6.2,6.34
17.16,10.03,5.88,37.68
2.31,1.51,3.96,19.71
14.01,7.67,-0.36,7.17
0.22,1.92,2.13,15.2
3.13,6.08,3.42,16.78
28.23,33.69,25.02,36.76
3.23,2.82,-0.11,17.99
17.52,4.53,7.93,13.65
13.47,3.19,1.27,26.17
11.51,8.25,4.14,15.35
6.04,2.12,8.71,17.96
5.06,6.4,6.89,11.32
3.93,18.86,19.4,23.94
8.26,6.62,7.55,10.4
5.63,9.92,6.89,8.63
1.6,6.11,6.42,20.37
1.02,7.11,2.53,72.69
11.75,6.24,2.66,12.01
13.01,8.24,3.04,8.27
15.7,5.69,2.35,10.3
13.35,10.39,5.23,35.25
1.26,4.67,4.56,19.32
14.33,12.59,6.07,14.57
30.72,31.24,33.8,21.2
7.4,21.28,6.31,10.46
14.65,3.95,5,18.96
8.55,5.33,5.16,11.21
0.51,4.4,4.35,6.29
18.15,20.85,14.75,10.2
7.87,16.07,12.76,15.4
16.25,10.02,11.24,12.1
4.61,5.27,5.24,17.53
4.74,27.4,13.41,15.98
5,9.89,14.9,41.21
9.51,8.21,15.76,19.79
7.1,3.99,8.77,6.74
22.74,37.67,37.56,28.86
6.24,1.27,6.68,15.47
1.31,4.08,2.07,6.18
1.66,1.56,4.26,14.24
20.16,12.85,9.63,6.93
13.73,3.54,7.58,24.05
39.66,32.29,15.37,36.5
4.4,7.79,4.79,8.49
-0.18,8.55,6.18,9.46
25.09,5.77,-0.37,2.78
5.18,3.56,4.34,20.22
9.18,4.83,4.09,85.37
6.86,6.73,10.24,42.6
14.86,6.85,12.59,6.76
5.83,10.73,13.98,12.18
19.34,12.78,10.73,43.81
8.79,11.77,11.41,16.7
12.85,5.34,6.56,17.37
6.8,12.82,6.49,40.13
7.88,5.79,4.06,4.97
8.01,1.05,3.48,12.33
7.82,18.75,16.23,11.51
11.18,17.67,24.7,9.32
4.94,3.83,3.49,5.11
10.7,5.89,6.21,2.41
4.95,6.71,3.54,23.55
7.09,11.53,3.41,14.49
4.9,1.33,2.3,7.35
7.91,10.25,4.61,15.57
28.45,-0.08,6.66,20.58
11.67,20.53,15.34,19.86
12.92,8.41,7.78,22.25
10.61,6.46,4.19,78.47
3.1,2.12,10.04,22.88
20.12,13.26,11.55,9.17
1.98,1.22,1.7,28.57
12.56,9.59,4.04,9.93
27.36,40.29,23.02,17.49
3.44,7.38,6.98,35.68
14.8,10.37,2.33,6.21
4.09,2.32,3.82,6.46
2.77,-0.37,2.37,2.92
7.54,5.01,5.42,19.32
3.47,8.19,9.82,71.85
4.3,11.66,6.67,34.33
2.37,10.54,12.14,12.31
6.71,5.04,3.01,21.42
6.6,5.29,2.33,27.85
13.99,7.39,2.18,9.87
26.87,16.27,8.31,35.75
6.45,5.87,1.05,8.95
7.14,7.15,3.11,7.34
23.86,27.97,6.9,24.45
15.71,6.26,5.62,19.81
10.13,7.75,2.63,26.93
14.08,8.69,4.43,4.19
4.98,8.54,9.72,26.44
21.34,14.1,10.86,15.63
10.85,14.79,14.47,30.81
3.29,4.01,4.15,13.11
4.16,7.53,7.99,10.03
16.8,15.22,13.66,18.4
3.02,7.82,9.24,12.46
1.86,7.24,2.54,4.64
8.14,7.87,5.01,11.87
4,8.78,10.53,5.57
5.8,6.56,3.06,19.64
7.25,8.53,10.21,18.8
5.51,3.52,7.59,83.2
11.62,4.04,3.36,4.75
8.85,9.25,5.63,23.26
1.35,2.8,1.33,6.71
10.41,4.02,3.88,10.33
0.05,4.31,7.3,8.05
9.15,13.55,8.86,16.28
16.93,9.24,8.41,25.27
2.56,5.2,5.21,3.47
2.87,6.56,10.65,9.55
4.17,2.81,5.85,24.89
2.63,8.8,8.8,11.04
17.23,16.81,12.22,15.02
9.15,3.93,11.27,23.54
16.33,9.4,7.92,6.85
6.7,8.83,20.3,37.96
17.18,8.74,10.89,45.21
6.54,12.09,7.44,11.04
6.52,5.76,11.22,71.01
8.37,5.23,5.82,18.95
3.94,16.92,16.95,22.68
1.08,-0.01,2.95,0.97
