k1,k2,k3,k4,k5,k6,cost
0.436577,0.1,0.944187,0.749095,0.522287,0.18202,9586.91
0.437381,0.1,0.932699,0.510759,0.420988,0.176742,10437.3
0.367525,0.1,0.947592,0.557463,0.422757,0.183878,9145.86
0.473034,0.1,0.95205,0.595968,0.270343,0.186078,9355.61
0.397821,0.1,0.94618,0.758349,0.480068,0.183276,9036.83
0.26894,0.1,0.941574,0.557973,0.510986,0.179983,8312.22
0.147118,0.1,0.941797,0.571367,0.273761,0.17798,3985.1
0.482573,0.1,0.949592,0.677437,0.419132,0.18497,9734.13
0.423207,0.1,0.945523,0.455155,0.182651,0.182893,9075.12
0.139914,0.1,0.94487,0.504541,0.258573,0.180242,3412.11
0.379596,0.1,0.942036,0.706526,0.558557,0.180497,9328.85
0.28315,0.1,0.928167,0.44594,0.367405,0.174053,8875.59
0.262441,0.1,0.941392,0.713063,0.465644,0.18109,7560.45
0.242516,0.1,0.954368,0.681277,0.386037,0.186187,6451.78
0.514018,0.1,0.938012,0.538649,0.357323,0.179852,10393.5
0.092443,0.1,0.953296,0.703737,0.420992,0.182377,1182.46
0.0850172,0.1,0.955538,0.375312,0.160604,0.182758,754.229
0.382487,0.1,0.935822,0.481719,0.302274,0.177991,9346.73
0.679725,0.1,0.947261,0.453027,0.201451,0.184327,10667.8
0.292149,0.1,0.946509,0.853358,0.691616,0.182632,7987.34
0.075128,0.1,0.956846,0.580878,0.322045,0.182097,577.268
0.43016,0.1,0.957617,0.91087,0.37199,0.188343,8967.13
0.409197,0.1,0.954425,0.544308,0.253006,0.186795,8794.3
0.356276,0.1,0.954899,0.614648,0.243362,0.186855,8163.43
0.326331,0.1,0.943658,0.599151,0.414967,0.182017,8459.17
0.418572,0.1,0.932577,0.460689,0.295802,0.17631,9916.19
0.211943,0.1,0.901654,0.376794,0.281526,0.160272,10279.6
0.54742,0.1,0.944061,0.573298,0.332441,0.182305,10238.7
0.337694,0.1,0.94534,0.698205,0.43086,0.182272,8342.84
0.811934,0.1,0.943026,0.76506,0.454594,0.182201,11169.4
