k1,k2,k3,k4,k5,cost
0.61229,0.00283454,0.167326,0.772129,0.147987,0.0766183
0.649862,0.00486847,0.167859,0.76208,0.148353,0.0766889
0.733834,0.0151294,0.172164,0.702497,0.155683,0.0778795
0.618183,0.00796103,0.166356,0.746757,0.148368,0.0769225
0.743885,0.0073735,0.171403,0.79376,0.155024,0.0767565
0.570965,0.00291215,0.166904,0.751579,0.146647,0.0767173
0.409911,0.00479197,0.164344,0.722224,0.143921,0.0779014
0.642388,0.012236,0.170932,0.72874,0.152439,0.0773197
0.593073,0.00951951,0.168061,0.774153,0.150676,0.0769707
0.567031,0.00455222,0.166129,0.755746,0.147162,0.0767923
0.582404,0.0113532,0.169035,0.767351,0.152386,0.077208
0.559614,0.00620222,0.164893,0.748614,0.146173,0.076954
0.676719,0.0263668,0.175923,0.621869,0.16094,0.081832
0.449705,0.0038419,0.166643,0.729488,0.14437,0.0774627
0.396277,0.0104129,0.163664,0.685015,0.144848,0.0791844
0.593184,0.00662434,0.167343,0.736838,0.149082,0.0769523
0.605763,0.00901415,0.170019,0.689462,0.149129,0.077689
0.675114,0.00649657,0.169529,0.789269,0.151736,0.0766771
0.581295,0.00440007,0.166143,0.773281,0.147666,0.076727
0.738734,0.00850536,0.173663,0.685842,0.153317,0.0778699
0.662138,0.00397036,0.168588,0.785952,0.151145,0.0766413
0.717947,0.00946951,0.170748,0.71066,0.152718,0.0773697
0.652512,0.0166694,0.171132,0.819362,0.156589,0.0773125
0.643562,0.0230235,0.179096,0.636125,0.160967,0.0812601
0.888094,0.0265111,0.181731,0.783756,0.1676,0.0778446
0.781133,0.0140027,0.174776,0.740682,0.158376,0.0773222
0.645702,0.0149613,0.167683,0.714045,0.15229,0.0777733
0.562878,0.015103,0.168227,0.696926,0.152858,0.0784984
0.683669,0.0065969,0.169324,0.779696,0.152135,0.0766774
0.418158,0.0136855,0.165693,0.786247,0.148264,0.0787962
