k1,k2,k3,k4,k5,cost
0.530586,0.108143,0.230039,0.192238,0.0329058,0.10902
0.636756,0.115594,0.226973,0.208954,0.0386843,0.10894
0.6175,0.109459,0.223659,0.19806,0.0390226,0.108019
0.851022,0.116852,0.2181,0.17411,0.0490541,0.107104
0.521042,0.0890845,0.191484,0.129438,0.0457987,0.10407
0.756401,0.124098,0.245757,0.243616,0.032501,0.11139
0.819593,0.130446,0.255958,0.256148,0.0362707,0.112298
0.265212,0.0746818,0.17683,0.105493,0.042049,0.102428
0.54843,0.122797,0.25449,0.252326,0.0257149,0.114015
0.454076,0.0807529,0.181573,0.0949967,0.0483695,0.102315
0.732984,0.104895,0.207378,0.140684,0.047052,0.10552
0.694154,0.106847,0.222394,0.192137,0.0372879,0.108018
0.424791,0.0906706,0.201692,0.158965,0.039756,0.105524
0.75574,0.109369,0.211787,0.15737,0.0445537,0.10622
0.734103,0.10985,0.216718,0.17584,0.0432472,0.106818
0.23706,0.0818436,0.19726,0.134552,0.0344901,0.104545
0.471192,0.08839,0.187686,0.113376,0.0454402,0.103298
0.750663,0.145427,0.274641,0.323564,0.0184165,0.120325
0.482077,0.0869848,0.19787,0.129099,0.0419364,0.104252
0.648347,0.121493,0.238411,0.22695,0.0333402,0.110543
0.423969,0.0967102,0.209827,0.179172,0.032357,0.107342
0.576568,0.0863033,0.17893,0.0875798,0.0517661,0.102641
0.815119,0.11482,0.224184,0.184326,0.0431569,0.107527
0.439479,0.0905176,0.203739,0.137239,0.0417231,0.104763
0.486445,0.0879128,0.191773,0.122751,0.0448047,0.103638
0.632324,0.0966499,0.199306,0.133142,0.0469247,0.104578
0.403796,0.0793201,0.177052,0.0917959,0.0486512,0.10202
0.328408,0.0793142,0.184964,0.115812,0.0417266,0.102946
0.295738,0.0879438,0.20259,0.151655,0.0364638,0.105267
0.913245,0.115406,0.211989,0.154214,0.0501542,0.106511
