k1,k2,k3,k4,k5,cost
0.300119,0.471732,0.433736,0.27655,0.680368,0.00341172
0.310392,0.303244,0.21424,0.21099,0.583185,0.00250228
0.290548,0.508147,0.34473,0.181552,0.515502,0.00186073
0.368103,0.490274,0.322391,0.172029,0.610782,0.00241425
0.334288,0.546249,0.352991,0.157498,0.550592,0.00196673
0.211849,0.627241,0.463381,0.203739,0.434711,0.0019147
0.36326,0.615056,0.415972,0.165876,0.608368,0.00229343
0.238228,0.543279,0.311129,0.1288,0.355727,0.00094513
0.263726,0.453748,0.306735,0.183929,0.477419,0.0016898
0.236216,0.575025,0.337221,0.128956,0.355653,0.000938146
0.34344,0.296871,0.266955,0.252787,0.70027,0.0031155
0.238279,0.490115,0.278993,0.138833,0.368816,0.00105668
0.331686,0.638705,0.358335,0.103213,0.461381,0.00131883
0.135268,0.642,0.499168,0.221994,0.342024,0.00213881
0.262303,0.536341,0.308167,0.132637,0.396589,0.00109432
0.256,0.772679,0.513495,0.1475,0.419365,0.00133976
0.282344,0.689263,0.412169,0.118223,0.409357,0.00105127
0.210043,0.418091,0.297276,0.198793,0.420087,0.0016271
0.277795,0.660225,0.484878,0.196953,0.520261,0.00217525
0.227135,0.840152,0.556029,0.141051,0.360482,0.00117595
0.23737,0.487399,0.265469,0.129226,0.354007,0.00102749
0.24471,0.524757,0.341446,0.164439,0.420956,0.00133402
0.251403,0.686466,0.379828,0.0922225,0.31975,0.000770098
0.249858,0.808532,0.518939,0.128607,0.379593,0.00107756
0.290145,0.683538,0.497149,0.191878,0.534819,0.00218915
0.275296,0.467246,0.32695,0.195351,0.510892,0.00194149
0.33576,0.786967,0.557708,0.174069,0.586067,0.00237072
0.254899,0.818806,0.51411,0.118377,0.37031,0.000981424
0.241831,0.636483,0.368083,0.114304,0.338494,0.000833851
0.453861,0.454119,0.317247,0.193015,0.781876,0.00320523
