pCD3z(),pSLP76(),pErk(),pS6()
1.93335,0.610268,1.1461,6.46224
5.70355,1.93028,3.00136,13.7833
3.06177,1.0154,1.44745,5.75681
4.62908,1.24144,1.16955,18.5763
2.58798,0.931306,1.43217,7.876
2.62817,0.797788,1.0419,3.73187
3.38644,0.959041,1.07592,3.29643
2.16284,0.598942,0.975087,6.20162
2.83545,0.739666,1.06448,5.3735
3.09984,1.37276,2.3467,11.8648
3.2077,0.905452,1.38544,7.99824
1.73981,0.83479,1.61073,15.906
2.22524,0.489103,0.488343,2.55574
2.8143,0.741605,0.981107,6.81695
4.8554,1.63401,2.13109,7.53527
3.11042,1.15353,2.08338,11.083
3.9607,1.12823,1.22769,15.0264
1.96402,0.600091,0.910477,6.11159
3.06811,1.059,1.5544,6.65684
3.08609,1.0391,1.69489,13.3469
3.25847,0.903187,1.04723,3.47164
2.22206,0.542037,0.595119,2.31837
2.69479,1.00737,1.55619,9.169
2.90525,0.92068,1.2456,4.54781
2.11736,0.463168,0.40701,2.288
1.61608,0.300709,0.278742,1.06147
3.52287,0.900291,0.849604,2.24929
3.08609,1.14452,1.72321,6.82389
1.52407,0.449149,0.742984,3.2764
1.42783,0.380936,0.55675,18.934
1.87941,0.707336,1.1875,9.64592
2.71171,0.795974,1.13595,6.62121
1.68165,0.441564,0.597119,4.30226
2.52876,0.74737,1.01196,3.30236
3.29338,0.888816,0.94317,4.71987
2.07929,0.71899,1.34254,22.9822
1.34217,0.491607,0.90717,4.3231
1.41726,0.236575,0.197731,3.27062
1.74827,0.602575,1.01733,5.91128
1.66578,0.305769,0.243708,0.658345
2.35849,0.922327,1.56776,5.91267
1.77048,0.51021,0.771801,6.50053
3.90888,1.06255,1.07083,4.9055
1.71232,0.425458,0.58474,6.02434
3.33039,1.02986,1.29655,4.25268
3.96704,1.21869,1.47711,9.85974
1.76202,0.330871,0.403453,4.85369
2.89362,0.766318,0.832609,3.06474
1.43523,0.286165,0.375633,3.79816
1.9545,0.491191,0.63729,4.87221
4.60898,2.38979,4.23148,17.302
1.6478,0.348328,0.360366,4.25575
4.11085,1.14466,1.32188,5.36098
3.15376,0.805575,0.828163,7.24827
3.15801,0.901493,1.02872,5.11347
2.05074,0.645613,1.01747,5.57186
2.26436,0.635936,0.900198,4.62305
2.25062,1.12318,2.15709,11.0704
