k1,k2,k3,k4,k5,k6,cost
0.0899302,0.301352,0.957959,0.217669,0.450011,0.188379,19.2352
0.114021,0.660892,0.94973,0.188334,0.294674,0.176811,9.84066
0.123472,0.78747,0.944811,0.242853,0.672697,0.168002,23.8341
0.107757,0.57128,0.94581,0.224359,0.544121,0.169827,19.5378
0.099993,0.46092,0.949143,0.206855,0.451955,0.174969,15.9912
0.103886,0.517734,0.948212,0.21235,0.473287,0.173628,16.5277
0.0863672,0.278945,0.951166,0.200786,0.369572,0.1777,14.0716
0.102878,0.499398,0.953941,0.185833,0.261921,0.183222,9.60288
0.110088,0.600644,0.94912,0.19522,0.377177,0.175172,12.6993
0.124221,0.801119,0.950567,0.190069,0.305065,0.178339,9.82759
0.110834,0.598141,0.950921,0.26741,0.770896,0.177383,30.1503
0.12344,0.788344,0.947634,0.213904,0.463052,0.172907,15.281
0.107921,0.572496,0.946484,0.251522,0.731214,0.170269,27.2059
0.104618,0.521509,0.954352,0.20574,0.385842,0.183797,14.241
0.124065,0.805353,0.948101,0.182999,0.260458,0.174975,8.92055
0.0910042,0.334638,0.95029,0.211997,0.409562,0.176129,15.9137
0.107076,0.556612,0.951086,0.191745,0.317683,0.17892,10.7383
0.118702,0.707489,0.949477,0.248116,0.702151,0.174987,26.0593
0.12199,0.767763,0.949509,0.213676,0.450655,0.176329,15.0463
0.111778,0.628784,0.951455,0.177332,0.225901,0.180098,8.29493
0.114275,0.663232,0.952273,0.186408,0.26573,0.180999,9.3097
0.11409,0.64928,0.953047,0.204804,0.38295,0.182571,13.4991
0.0959186,0.409188,0.95002,0.193303,0.325806,0.176789,11.7449
0.119974,0.744801,0.947412,0.204803,0.405298,0.173422,13.293
0.108579,0.581418,0.951265,0.185556,0.264496,0.179182,9.32667
0.0974456,0.426807,0.949762,0.200953,0.397942,0.175689,14.041
0.122192,0.766743,0.951088,0.189763,0.293563,0.17922,9.58548
0.115979,0.687961,0.947498,0.22309,0.51202,0.172945,17.7753
0.112197,0.629788,0.952197,0.181229,0.241869,0.181214,8.59045
0.126597,0.831008,0.946821,0.225465,0.530295,0.172239,17.9976
