pCD3z(),pSLP76(),pErk(),pS6()
5.58995,12.4008,15.796,6.47429
36.9933,24.9009,34.5682,10.7356
14.9889,16.6487,7.06078,6.86197
28.0435,5.57951,1.28162,77.9136
11.0426,19.2006,5.6665,16.9044
11.3773,11.8946,3.2531,4.57638
17.6932,9.15472,2.62929,4.05506
7.50145,8.54076,13.8073,9.40992
13.1038,5.99404,16.5964,3.91524
15.306,34.1162,9.4599,21.4108
16.2045,9.01564,21.1035,9.63116
3.97794,26.4917,7.00679,49.4187
8.02117,2.11017,3.96987,5.54582
12.9277,6.39483,11.5567,15.0215
29.9286,22.1229,6.9097,9.46896
15.3941,22.9138,23.6547,12.4476
22.4764,9.45216,2.74537,58.0943
5.8454,11.4485,5.64745,14.6651
15.0418,18.7556,7.25082,9.47115
15.1915,17.4942,17.4177,32.455
16.6273,8.17339,5.14674,3.40978
7.99474,4.82376,2.75558,3.69373
11.9323,21.5038,5.02878,21.8558
13.6852,14.1178,4.85603,5.10298
7.12267,2.34898,0.490953,7.41883
2.94731,1.3447,2.46155,1.15713
18.8295,4.23818,1.54995,3.30411
15.1915,22.8083,5.64322,8.93774
2.18095,10.1455,5.59529,2.824
1.37935,8.08673,2.28861,80.8093
5.1407,18.0665,4.47495,27.9129
12.0732,10.6055,10.2985,12.5053
3.49346,7.50491,2.73899,11.841
10.5493,10.778,5.69622,1.21913
16.918,6.94879,2.40828,12.5468
6.80556,15.7894,15.7134,81.5789
0.665842,14.8928,4.44453,5.76965
1.29127,0.96163,1.65156,12.7574
4.04841,14.6658,5.76192,11.6913
3.36133,0.887423,1.191,0.672084
9.13107,22.0372,8.37763,3.57382
4.23339,9.69179,5.22089,18.3048
22.0447,6.8847,1.68111,13.3843
3.74891,6.25342,4.84541,18.8207
17.2263,13.5276,3.79385,4.57549
22.5292,13.9209,4.39864,29.3025
4.16292,0.773396,8.54306,13.6353
13.5883,6.50378,2.66708,5.3279
1.44101,3.20358,5.02208,10.6221
5.76612,6.09554,5.00932,13.083
27.8761,63.7505,14.519,20.3536
3.21158,3.29032,1.43951,15.7117
23.7272,8.12838,9.07591,7.71118
15.7553,4.75389,3.63873,24.9518
15.7905,9.52799,2.03809,13.1378
6.56772,12.5,7.49237,9.6364
8.34709,8.95045,7.69404,7.15994
8.23258,33.7071,11.0082,17.5729
8.52327,12.2892,8.13541,4.3316
8.84919,10.194,2.89073,8.66182
4.41838,11.504,6.207,12.7739
1.26484,7.27301,4.56235,73.1921
15.121,5.52125,3.29785,8.20166
17.9927,10.5132,2.99098,3.46477
16.8388,6.03602,2.28544,7.35108
17.4113,9.78972,5.53445,31.0663
0.595372,9.22583,5.86708,12.7099
13.8702,22.9997,7.48202,5.19509
39.7592,49.5487,23.7757,4.91726
6.00396,26.7441,6.897,5.90558
14.1521,6.7769,1.33508,17.5594
7.89784,14.3642,4.04138,7.38441
1.69647,7.54165,3.61946,4.59192
27.8057,27.6558,6.39356,3.62891
10.8224,22.3055,6.25524,14.5784
22.6085,20.2185,4.39,4.3233
5.30807,11.7132,2.71118,13.372
8.06521,44.3509,9.96741,2.69194
7.41336,17.9088,19.8128,28.1764
10.5052,12.9389,21.9545,10.6729
9.2632,11.8623,5.68509,2.35576
44.1812,63.684,17.324,12.1324
6.74389,3.97471,8.97976,11.4711
0.639416,3.25463,2.45593,6.32526
1.8286,8.46722,3.74455,10.3809
23.4101,20.1596,4.69821,1.2888
14.2225,15.1206,6.18523,15.3216
51.1577,43.568,15.2234,15.6945
4.2422,13.5974,3.59949,4.68378
1.08866,8.3902,4.51291,9.73915
22.4676,6.62506,1.7466,1.89573
3.16753,7.80511,2.80811,17.0386
12.8572,5.77417,7.12048,81.0766
9.05178,9.27605,40.1643,15.2373
19.6223,17.4438,4.11007,3.0228
4.62098,24.6073,7.85522,7.7573
27.973,14.2329,6.81788,41.4594
