pCD3z(),pSLP76(),pErk(),pS6()
5.87071,9.81066,12.1221,14.7121
31.9141,23.5557,26.5947,28.7199
13.6714,14.1183,8.6548,11.3502
24.2523,8.32276,3.9673,80.1875
10.4606,15.2838,8.55617,21.0252
10.6263,10.2014,5.21463,6.94853
15.7848,9.24537,4.34596,6.00067
7.38628,7.38371,10.1377,16.544
11.9607,6.49104,11.1141,12.1446
14.1948,26.4009,14.6183,28.292
14.5593,9.12736,14.531,20.2462
4.75396,19.3173,11.3799,55.0513
7.71653,2.85945,3.04192,7.65537
11.8211,6.68918,8.57912,21.0942
26.053,20.2258,10.419,14.345
14.1009,18.7439,19.4836,25.1278
19.7273,10.1918,5.33811,60.9529
6.06555,9.0719,6.39935,18.2444
13.7465,15.601,9.33111,14.2147
13.8521,14.8586,14.9269,42.2032
14.8929,8.4247,5.44629,6.4524
7.73533,4.73782,3.03638,5.37378
11.2275,17.0227,8.88054,25.8985
12.5599,12.1257,6.73569,8.37744
6.97999,2.85037,1.18348,7.94567
3.52766,1.53162,1.814,2.42207
16.6465,5.97143,2.52364,4.4455
13.9304,18.4378,9.47138,13.1704
3.02912,7.59935,5.77882,6.1005
2.33796,6.0102,4.44483,83.5897
5.58453,13.577,7.59027,31.541
11.1807,9.48658,8.89745,18.2037
4.06974,5.92396,3.68949,13.7712
9.9281,9.32149,6.21033,4.6061
15.1135,7.58395,3.75441,14.3793
6.92238,12.372,13.9691,91.1196
1.85284,10.6725,6.34675,8.83239
2.15843,1.00307,1.37718,13.7867
4.6344,11.0463,7.18974,15.4628
3.8615,1.26113,1.00236,1.31292
8.92974,17.0024,10.5411,8.91666
4.71202,7.59364,5.72056,21.6245
19.3332,8.31485,3.49305,14.9172
4.26153,5.11282,4.63304,21.7626
15.4662,12.2427,6.09302,7.33265
19.838,13.3377,7.00456,32.7682
4.5206,1.38751,5.22273,17.8926
12.3656,6.76602,3.59417,7.12586
2.31574,2.62992,3.78151,13.3252
5.9199,5.31203,4.66415,16.0174
24.9887,49.0862,25.2789,31.4395
3.7743,2.9218,1.94538,16.8388
20.7379,9.52294,7.85944,12.6874
14.1235,5.88761,4.00716,27.4044
14.2239,9.20977,4.1816,14.956
6.67621,9.93714,7.63766,14.0669
8.08791,7.73078,6.86442,11.4431
8.3654,25.0506,15.1173,25.051
8.28308,10.0953,7.92354,8.98058
8.51936,8.62307,4.56551,10.809
4.89161,8.89862,6.65664,16.5801
2.23174,5.44861,5.38764,76.8669
13.6128,6.32114,3.77385,10.2863
16.0518,10.2444,4.89122,5.65377
15.0346,6.93203,3.38355,8.99268
15.5627,9.68145,6.46006,34.8077
1.70999,6.71848,5.78148,16.1967
12.8457,18.3896,10.4471,10.2315
34.5598,41.0806,26.9063,19.2937
6.42568,19.7971,10.863,10.86
12.8337,7.02961,3.1073,18.9408
7.79883,11.4043,6.21584,10.2945
2.59096,5.68394,4.03735,6.81475
24.3882,23.7611,11.4027,8.49849
10.3259,17.426,9.63263,19.1247
19.9977,17.7474,8.27052,7.7903
5.6268,9.1418,4.81497,15.5773
8.38715,32.4492,17.0455,10.1037
7.45502,13.9855,16.0766,38.9545
9.92618,11.0072,15.8499,21.9031
8.88556,9.88259,6.45842,5.81259
38.4116,51.5626,27.1606,24.493
6.69354,4.02366,6.32117,16.1077
1.65626,2.51393,2.29957,7.76709
2.71365,6.35295,4.42211,12.8057
20.6568,17.8319,8.40786,4.85489
13.0174,12.9245,7.87436,19.4324
43.8533,38.5497,21.1352,25.9565
4.77766,10.3045,5.63815,7.27959
2.10341,6.19452,4.79684,12.5031
19.6774,8.19746,3.32263,3.27321
3.80593,6.08527,3.86366,19.0954
11.7533,6.20277,6.84985,86.0391
8.67679,8.42931,24.9814,34.7859
17.4976,15.3488,7.30951,6.15463
5.25516,18.1035,10.834,13.0485
24.3247,14.4162,8.73319,46.2856
9.47882,14.3078,8.75023,16.5603
16.6042,7.71658,4.35439,17.7132
5.9016,15.5687,9.11055,40.1655
7.96107,7.84637,3.70688,2.64475
4.3442,3.25058,4.55549,11.2575
11.9279,26.4507,13.9716,10.3358
13.6416,26.8836,15.2203,11.4628
5.07584,6.02065,3.63819,6.15759
11.4521,8.29656,4.68356,3.15994
3.73528,10.5422,6.36864,21.6568
11.0288,9.12495,7.1797,11.5782
4.25535,2.79228,2.35675,7.01522
10.2274,11.496,8.12723,10.8993
22.0614,6.21572,4.65633,23.8242
16.8778,26.5437,13.7578,13.4876
11.5949,7.56712,6.63846,23.9384
7.85593,12.0565,7.86367,74.4162
2.94734,2.5266,11.9625,22.272
22.7183,14.3142,11.4147,8.78789
4.30029,2.19169,2.03936,28.4771
12.8824,12.3424,6.27965,8.96709
39.4061,43.3495,20.9386,12.2398
7.6374,7.61366,7.66424,37.0308
20.177,7.59624,4.69426,6.43206
4.40524,3.38958,3.35807,7.07355
2.69955,1.9779,1.12117,4.46511
6.2876,8.63663,5.09088,19.7711
4.2145,15.4342,14.6684,66.5563
8.51345,19.4847,11.866,29.5455
6.32423,16.0783,9.24519,9.20936
7.7462,3.56553,3.05421,23.2768
6.27564,6.07042,5.10721,24.1125
16.6949,7.23333,4.71606,9.05204
