k1,k2,k3,k4,k5,cost
0.135279,0.0633857,0.142493,0.147656,0.00391908,0.071298
0.363312,0.0784038,0.139886,0.167549,0.00636242,0.072173
0.419299,0.069946,0.130009,0.120381,0.0120826,0.0635176
0.341987,0.0583669,0.114231,0.0886762,0.0152692,0.0609429
0.302411,0.0644628,0.12556,0.116166,0.0102167,0.0627626
0.315894,0.0556818,0.110034,0.0783256,0.0159136,0.0605423
0.188041,0.0511266,0.110251,0.0818012,0.0119855,0.0598982
0.41346,0.0810262,0.144369,0.155883,0.00581204,0.0697038
0.195034,0.0494019,0.10558,0.0701814,0.0140166,0.0596279
0.406073,0.0673281,0.125677,0.113442,0.0125578,0.062715
