pCD3z(),pSLP76(),pErk(),pS6()
4.43437,8.81198,11.722,14.6446
29.4638,21.7554,25.8603,28.657
11.8013,13.001,8.59646,11.362
24.2849,8.20948,3.09697,78.3969
8.99672,14.0721,8.43279,20.8279
8.85382,9.37065,5.22291,6.96973
13.8126,8.58638,4.36613,6.00969
6.0189,6.63749,9.71656,16.3692
10.2817,5.84702,10.666,12.0666
12.5324,24.3492,14.5349,28.1522
12.9381,8.29866,13.9286,20.0532
4.45978,17.8049,10.8809,54.1495
6.23827,2.56052,2.8783,7.53292
10.4581,6.12256,8.14606,20.7722
23.6656,18.8528,10.4567,14.3717
12.4109,17.1258,18.9477,25.0211
19.2836,9.75189,4.702,59.6732
4.82449,8.26918,6.18564,18.0053
11.9272,14.3757,9.26209,14.1881
12.8355,13.691,14.2551,41.5748
12.9683,7.78814,5.38363,6.45552
6.15225,4.29332,2.96676,5.33194
9.85062,15.7126,8.74731,25.6125
10.7021,11.162,6.72702,8.40842
5.5653,2.58095,1.09922,7.79268
2.08878,1.26084,1.7217,2.39696
14.6756,5.59666,2.52546,4.41946
12.0195,17.0026,9.50954,13.21
1.56178,6.81141,5.68441,6.12713
3.35728,5.69512,3.44634,81.7331
4.68012,12.4728,7.32921,31.0657
9.69862,8.68696,8.58444,17.9953
2.85977,5.35392,3.53749,13.5619
8.11131,8.5107,6.17086,4.68534
13.4657,7.08342,3.64393,14.1589
7.75413,11.502,12.6833,89.2923
0.453911,9.6418,6.30562,8.84708
1.1418,0.806615,1.15335,13.4804
3.31616,10.0469,7.04501,15.3309
2.39126,1.02829,0.949223,1.29889
7.08993,15.544,10.5338,9.06116
3.66405,6.90435,5.44559,21.2776
17.5298,7.8414,3.41103,14.6828
3.29418,4.61952,4.31648,21.3639
13.4705,11.3295,6.12725,7.37607
18.4335,12.512,6.7366,32.2256
3.48019,1.13852,4.79207,17.541
10.6147,6.24938,3.54845,7.06957
1.21645,2.26443,3.51426,13.0846
4.70562,4.80667,4.41937,15.7556
22.4586,45.3602,25.4877,31.6661
2.74854,2.61519,1.72798,16.4913
18.7286,8.88188,7.65168,12.5789
12.9459,5.54479,3.67311,26.8554
12.5938,8.56969,4.10408,14.752
5.24894,9.03709,7.44829,13.9549
6.57407,7.01968,6.66032,11.3495
6.84415,22.9721,15.0056,24.987
6.62855,9.18266,7.78554,8.99262
6.98542,7.90161,4.50254,10.7114
3.64354,8.07554,6.44561,16.3839
3.04254,5.12243,4.40595,75.1753
11.9174,5.868,3.66637,10.1486
14.0332,9.50433,4.92672,5.69187
13.2387,6.46166,3.32938,8.88646
14.459,9.06816,6.06486,34.1659
0.62354,6.01614,5.5382,15.9732
10.8724,16.9054,10.4753,10.3555
31.4002,38.0087,26.8922,19.7007
4.68935,18.0953,10.9202,11.0065
11.4348,6.56435,2.95397,18.5996
6.20465,10.4313,6.1854,10.2717
1.22085,5.06793,3.94382,6.77498
21.807,22.0568,11.5925,8.73039
8.75529,16.0253,9.56035,19.0173
17.7137,16.468,8.39606,7.92085
4.34048,8.34903,4.70569,15.3823
6.24218,29.7282,17.2873,10.5252
6.58372,12.7329,15.3649,38.4188
8.48404,9.94218,15.2399,21.7236
7.13327,9.01335,6.41456,5.87628
35.0768,47.8152,27.4459,24.9199
5.4518,3.58934,5.95521,15.8464
0.432053,2.15316,2.15954,7.63858
1.50822,5.70865,4.26515,12.6377
18.2525,16.5417,8.56422,5.05709
11.4563,11.9349,7.71395,19.2259
40.6673,35.9735,21.2027,26.0746
3.23374,9.35878,5.63153,7.31104
0.909694,5.54185,4.62156,12.3462
17.5026,7.69086,3.38003,3.31137
2.76669,5.5187,3.64756,18.7644
12.4483,5.99318,5.71608,84.1415
7.60231,7.38899,23.7238,34.3881
15.315,14.2139,7.41299,6.28222
3.66249,16.5146,10.8073,13.1209
23.1248,13.6111,8.26556,45.4511
7.92834,13.1261,8.63642,16.4599
14.9919,7.23357,4.18192,17.4205
5.19722,14.3308,8.7519,39.5327
6.2201,7.15424,3.75028,2.7201
3.08041,2.84895,4.2988,11.0814
9.80203,24.2917,14.1306,10.6196
11.4596,24.7005,15.3248,11.7394
3.58889,5.42839,3.58035,6.12818
9.57076,7.61257,4.69116,3.23589
2.66503,9.60895,6.17051,21.3612
9.37658,8.35689,7.00771,11.4997
2.90161,2.45114,2.23113,6.90437
8.52992,10.5192,8.00641,10.8844
20.4509,5.95479,4.34148,23.3588
14.6602,24.4809,13.8892,13.6856
10.3407,6.98752,6.28983,23.5355
8.22208,11.2838,7.0327,72.8985
1.99005,2.04199,11.2229,21.9254
20.3771,13.2661,11.2644,8.88346
3.62824,1.99605,1.6551,27.8427
11.0331,11.381,6.2918,8.98041
35.8829,40.2939,21.3498,12.7575
6.92879,6.99859,7.12129,36.3381
18.0727,7.12592,4.63197,6.40399
3.02303,2.98639,3.20849,6.98285
1.35808,1.68465,1.05226,4.38991
5.11143,7.90418,4.90172,19.4716
4.32211,14.1733,13.7503,65.3711
7.26994,17.9017,11.6473,29.2524
4.62856,14.6717,9.26087,9.32142
6.7407,3.28444,2.73235,22.7927
5.28018,5.54226,4.77485,23.6739
14.8128,6.74094,4.61159,8.96337
29.939,19.3323,11.3306,30.5999
8.21337,3.66019,1.95558,8.81879
8.49801,5.93026,4.62178,3.71602
30.975,22.5499,11.1964,19.2781
14.3112,8.51075,5.02532,21.1834
10.6207,7.21925,4.577,26.9189
14.0323,6.70133,2.99478,3.50933
5.55838,11.3127,7.02132,24.5779
19.3766,11.3614,9.47991,15.6624
11.0879,16.9885,12.9041,28.8176
2.51084,5.72071,5.45988,9.13201
4.41472,8.53913,9.54552,7.9751
16.7757,23.3901,14.088,12.0712
2.34251,8.10612,8.2515,10.8152
4.17677,3.77844,2.57392,4.21705
