Syk(),Vav(),SykVav(),pVav(),SHP1(),SHP1PVav()
27,71,178,1358,0,555
89,11,54,1356,0,258
111,4,19,1400,0,123
242,5,75,1689,0,434
189,0,32,2135,0,208
292,1,22,1738,0,124
295,0,37,2095,0,140
106,3,40,1428,0,171
5,455,148,1610,0,305
251,0,28,2073,0,162
0,358,102,1278,0,136
4,524,131,545,1,472
3,1127,112,1294,0,225
227,1,33,2217,0,170
40,11,53,1357,0,104
102,3,37,1363,0,207
258,0,31,1887,0,170
182,1,40,2635,0,207
128,5,70,2386,0,270
21,23,72,1117,0,147
198,0,17,2169,0,100
203,3,39,1188,0,194
199,2,16,3006,0,108
99,1,53,1864,0,177
123,2,24,1958,1,111
212,2,60,1356,1,243
271,0,22,2053,0,139
143,8,56,1526,0,372
255,1,28,1617,0,126
281,0,31,2272,0,131
108,4,42,1563,0,186
114,4,58,2206,0,180
302,1,19,1608,0,138
26,55,136,1499,1,350
3,1167,110,1807,0,93
195,1,22,2007,0,175
345,3,43,1784,0,211
3,1326,175,1324,1,478
3,887,111,1044,3,283
202,1,18,2133,0,154
206,3,37,1345,0,188
155,3,44,1783,0,192
186,6,45,1805,2,233
102,6,28,1522,0,148
186,0,24,903,0,145
213,0,28,1651,0,132
125,4,39,1651,0,169
150,3,35,2355,0,165
64,8,78,2002,0,137
172,2,38,1862,0,215
62,11,85,2485,0,71
121,3,50,2455,0,144
4,213,120,1340,0,220
134,3,29,1098,0,197
320,3,33,1697,0,190
192,2,65,1981,0,263
322,4,96,2877,1,446
0,1659,95,510,2,320
202,5,66,1274,1,377
315,1,25,1742,0,198
205,1,51,1261,0,234
126,2,38,2197,0,147
117,10,117,2645,0,401
139,3,23,1680,0,145
80,9,67,1123,0,364
245,5,42,2511,2,211
216,0,23,1288,0,153
141,2,32,1328,0,169
273,3,26,2163,1,163
99,11,53,1871,1,218
191,5,47,1320,0,224
205,0,11,2204,0,75
233,1,53,2683,0,252
145,7,36,1620,0,201
225,1,46,1192,0,201
237,2,38,3003,0,241
270,4,44,1635,0,253
222,1,19,1620,0,112
136,0,30,2028,0,122
147,1,35,1580,0,174
5,994,176,2860,0,140
249,0,33,1964,0,209
189,0,11,1651,0,148
200,10,50,924,0,261
329,0,43,1071,0,192
197,2,49,1848,1,280
31,37,163,2968,0,162
