pCD3z(),pSLP76(),pErk(),pS6()
6.93,8.11,15.55,19.42
30.58,20.26,28.92,47.09
16.6,15.39,5.23,5.24
21.42,4.78,1.42,58.01
8.12,15.1,2.87,13.83
6.5,9.78,4.91,11.4
12.67,8.55,1.96,6.91
6.1,5.98,15.22,22.68
13.46,8.08,15.25,25.55
11.96,28.54,11.55,26.13
14.98,6.55,19.84,32.78
3.1,19.2,8.48,43.19
6.69,1.75,2.25,7.12
10.26,2.61,10.18,20.76
24.56,20.57,7.82,13.03
14.06,18.3,23.25,40.52
21.1,6.36,2.08,42.47
6.22,10.87,1.79,13.4
11.66,15.06,11.91,19.93
12.83,15.44,14.27,42.97
13.46,5.43,6.18,9.84
6.66,4.2,3.11,5.45
8.13,17.92,13.53,25.06
11.12,10.33,3.26,7.73
7.67,2.16,1.06,4.59
2.93,1.38,1.6,7.83
17.96,2.17,1.97,3.22
13.83,21.19,8.96,14.7
2.06,7.65,6.02,9.21
1.15,8.13,3.63,63.89
5.42,15.36,9.68,27.32
11.29,8.06,10.59,16.44
1.55,7.14,5.34,12.88
11.56,12.46,5.08,6.55
14.79,4.84,2.26,11.64
6.31,13.27,14.59,77.73
1.34,15.86,3.41,12.5
1.05,1.09,1.72,11.88
8.18,15.17,5.07,15.38
4.4,0.75,1.22,-0.48
8.95,17.93,10.32,13.75
5.39,9.83,7.72,20.18
23.61,7.15,1.48,11.61
2.84,6.52,3.16,18.71
14.14,13.16,6.2,12.34
19.16,12.03,5.88,27.68
4.31,0.51,6.96,18.71
10.01,4.67,3.64,10.17
1.22,3.92,1.13,10.2
6.13,4.08,3.42,13.78
25.23,65.69,20.02,28.76
2.23,0.82,0.89,11.99
22.52,5.53,6.93,12.65
11.47,4.19,4.27,23.17
15.51,5.25,1.14,12.35
3.04,11.12,7.71,8.96
8.06,8.4,12.89,12.32
3.93,31.86,15.4,22.94
5.26,12.62,9.55,9.4
5.63,8.92,2.89,8.63
4.6,10.11,4.42,16.37
1.02,7.11,3.53,60.69
10.75,1.24,3.66,8.01
14.01,8.24,3.04,4.27
13.7,4.69,2.35,5.3
18.35,9.39,10.23,36.25
1.26,7.67,12.56,27.32
7.33,20.59,8.07,9.57
33.72,49.24,23.8,27.2
6.4,20.28,5.31,6.46
12.65,5.95,3,11.96
6.55,12.33,7.16,8.21
2.51,4.4,3.35,11.29
22.15,28.85,8.75,7.2
9.87,21.07,6.76,20.4
15.25,16.02,7.24,6.1
8.61,10.27,1.24,12.53
5.74,41.4,16.41,11.98
6,17.89,12.9,32.21
13.51,14.21,17.76,31.79
7.1,9.99,9.77,12.74
35.74,55.67,27.56,23.86
7.24,3.27,11.68,23.47
1.31,2.08,2.07,4.18
2.66,6.56,1.26,11.24
14.16,15.85,6.63,6.93
12.73,15.54,6.58,22.05
41.66,30.29,10.37,17.5
2.4,14.79,3.79,3.49
0.82,7.55,5.18,12.46
21.09,3.77,0.63,0.78
3.18,4.56,4.34,20.22
12.18,3.83,9.09,63.37
7.86,7.73,36.24,53.6
21.86,14.85,5.59,8.76
4.83,22.73,7.98,14.18
24.34,14.78,4.73,30.81
8.79,17.77,9.41,12.7
15.85,4.34,3.56,10.37
4.8,19.82,8.49,29.13
7.88,8.79,4.06,6.97
5.01,3.05,5.48,13.33
11.82,35.75,14.23,10.51
13.18,26.67,13.7,12.32
1.94,6.83,5.49,8.11
11.7,6.89,5.21,7.41
3.95,13.71,4.54,13.55
12.09,9.53,6.41,12.49
3.9,3.33,2.3,4.35
10.91,9.25,8.61,15.57
22.45,2.92,4.66,26.58
21.67,32.53,12.34,20.86
11.92,8.41,6.78,22.25
7.61,16.46,6.19,56.47
2.1,3.12,17.04,24.88
31.12,11.26,11.55,15.17
2.98,2.22,0.7,25.57
15.56,15.59,6.04,6.93
31.36,45.29,16.02,15.49
7.44,7.38,7.98,40.68
24.8,7.37,4.33,8.21
2.09,2.32,3.82,8.46
0.77,1.63,0.37,2.92
8.54,9.01,5.42,18.32
2.47,16.19,14.82,54.85
8.3,20.66,7.67,32.33
5.37,21.54,7.14,10.31
7.71,3.04,2.01,21.42
6.6,4.29,2.33,16.85
16.99,2.39,4.18,5.87
29.87,16.27,9.31,23.75
