k1,k2,k3,k4,k5,cost
0.722777,0.621992,0.301544,0.742171,0.407871,0.411328
0.47141,0.156951,0.36848,0.655022,0.255828,0.188256
0.490326,0.0863934,0.298334,0.707656,0.230448,0.0883015
0.329278,0.43966,0.29366,0.563395,0.35207,0.32668
0.495831,0.767685,0.449391,0.438552,0.528943,0.624435
0.503232,0.390106,0.263566,0.624246,0.34948,0.277126
0.654049,0.408993,0.310662,0.368004,0.36352,0.316639
0.213647,0.620232,0.38236,0.593053,0.46336,0.503341
0.449092,0.128299,0.299253,0.546945,0.245761,0.119095
0.523722,0.169372,0.452507,0.607879,0.380196,0.358012
0.567861,0.0933527,0.23684,0.0735183,0.205673,0.123217
0.461321,0.211691,0.449552,0.613464,0.370382,0.343257
0.653078,0.378324,0.425047,0.54612,0.408269,0.365638
0.125476,0.512847,0.506849,0.605278,0.560564,0.68601
0.733179,0.621946,0.308091,0.351735,0.444371,0.467226
0.704851,0.0672543,0.245577,0.384358,0.179638,0.059426
0.580738,0.205491,0.320715,0.413821,0.258037,0.178122
0.361082,0.593767,0.329616,0.532619,0.418607,0.449736
0.41158,0.384035,0.479734,0.803226,0.415673,0.423429
0.269098,0.22866,0.630326,0.653309,0.476796,0.661238
0.326044,0.522793,0.352333,0.576717,0.436613,0.428009
0.698374,0.345027,0.257737,0.860886,0.311164,0.194592
0.476977,0.397595,0.422751,0.508009,0.387428,0.389448
0.365309,0.661304,0.346696,0.592812,0.452166,0.490817
0.200058,0.20766,0.27269,0.419962,0.237913,0.168811
0.762315,0.453697,0.310169,0.496466,0.370964,0.31618
0.567562,0.27502,0.319751,0.764231,0.314328,0.187902
0.640492,0.372582,0.514411,0.434031,0.41353,0.494839
0.30752,0.0977936,0.249545,0.785661,0.195777,0.0618303
0.438788,0.45074,0.441266,0.584087,0.451987,0.449607
