NKG2D(),CD45(),pErk(),CD107a()
11.34,47.74,4.03,0.22
16.49,90.2,3.6,0.81
3.93,40.55,1.92,0.48
5.71,51.24,4.83,2.79
5.31,17.42,0.49,2.06
7.05,36.52,0.14,0.31
8.63,43.86,2.99,0.07
4.99,32.03,3.06,0.38
11.85,55,0.03,1.6
6.74,50.86,23.61,0.02
7.57,79.42,9.9,14.3
10.41,77.06,0.19,0.12
13.43,44.14,4.31,0.01
4.41,69.67,0.33,0.34
1.92,51.84,1.13,0.9
11.59,74.1,1.42,0.44
1.66,61.1,0.61,0.26
23.27,44.48,0.8,4.84
3.61,188.86,0.71,0.37
1.37,39.6,1.21,0.28
9.4,42.33,1.77,2.06
13.39,29.02,15.93,0.22
8.02,61.58,3.72,0.23
22.16,18.48,3.61,0.05
24.26,85.25,3.22,0.41
6.86,63.91,3.59,0.91
35.94,82.29,3.21,0.7
9.38,64.19,7.75,1.05
14.94,70.24,4.38,0.95
9.52,37.69,3.77,0.11
0.89,55.13,1.48,0.11
20.7,120.7,16.97,3.14
11.4,72.39,1.59,0.72
9.56,32.59,0.15,0.14
9.15,98.5,4.15,1.74
9.89,58.22,9.55,8.24
24.3,55.16,2.79,5.22
4.88,97.64,6.73,0.06
2.93,61.54,0.22,0.65
1.43,31.44,1.64,0.56
18.75,64.28,9.87,0.88
18.23,34.73,1.79,0.79
1.2,28.53,11.24,0.84
10.24,37.43,4.38,0.71
15.22,62.06,4.31,-0
3.88,49.74,2.17,0.18
10.65,80.95,1.09,0.39
3.96,41.34,1.19,1.06
17.3,35.72,3.58,0.39
14.2,67.69,14.05,1.81
21.6,30.99,8.97,0.07
1.56,31.14,2.43,0.02
18.75,47.05,5.79,0.51
9.41,49.54,0.8,0.04
13.94,39.16,3.32,2.32
10.98,31.5,11.65,0.66
12.38,58.99,2.45,0.58
9.86,85.69,9.91,1.82
3.78,33.67,1.76,0.62
3.16,64.11,3.45,0.32
9.22,15.68,13.57,1.69
7.27,61.25,0.13,0.8
0.13,29.94,1.18,0.23
6.29,19.67,1.77,1.61
7.55,249.79,2.71,0.96
19.37,51.65,2.37,0.91
8.41,69.56,2.53,0.22
9.43,82.63,2.22,0.64
10.54,100.6,1.63,0.28
15.85,47.04,1.5,0.7
6.68,44.58,1.57,0.44
10.07,59.19,0.43,0.34
7.66,3.35,4.53,0.41
2.57,61.05,2.59,0.01
6.24,110.84,0.33,4.95
17.44,16.5,3.97,0.25
6.52,118.78,0.11,0.63
2.65,45.56,1.22,0.86
7.97,32.94,7.99,0.67
5.89,19.94,0.63,0.37
4.07,67.4,11.94,0.66
1.76,40.61,0.31,0.68
6.75,50.86,0.04,1.29
6.88,44.76,5.35,0.58
12.05,47.14,5.27,0.56
2.95,16.87,1.63,0.82
4.48,51.84,1.13,0.89
0.9,32.38,0.5,0.68
11.66,104.52,5.81,0.24
1.3,53.57,0.14,0.22
5.85,79.88,0.24,1.36
14.08,65.78,2.3,0.73
0.52,15.88,1.49,0.65
11.66,49.1,3.12,0.81
8.98,111.78,4.37,0.13
7.59,31.14,2.42,1.5
15.95,107.83,2.37,0.88
9.99,32.51,2.89,0.72
3.74,12.15,8.02,1.89
11.03,68.33,0.64,0.54
7.44,88.25,2.75,0.5
2.69,49.77,1.6,0.14
5.6,44.1,0.82,0.64
6.74,62.38,0.71,1.57
1.96,23.7,4.71,0.08
6.75,43.62,3.51,0.49
0.85,95.08,5.32,0.14
7.46,30.02,1.39,0.34
9.89,8.32,0.27,-0
3.86,24.67,1.71,0.35
21.27,40.93,3.08,0.57
4.18,68.68,6.57,0.67
11.16,98.73,2.82,2.41
11.91,87.08,1.54,0.54
15,58.09,2.24,3.61
4.69,34.69,2.65,0.84
12.49,48.03,1.14,0.31
17.34,154.41,4.39,0.2
4.44,55.57,8.33,0.03
10.94,94.31,11.38,1.33
19.9,42.89,1.48,1.29
9.14,60.94,1.01,1.89
3.82,65.6,2.07,0.23
16.48,79.02,0.27,0.63
7.8,45.16,0.63,0.36
13.46,36.66,1.38,0.21
13.57,88.27,1.28,0.22
7.94,35.09,0.83,0.51
31.98,44.44,7.12,0.01
2.73,111.9,1.6,0.33
12.97,42.04,5.28,0.33
6.36,45.14,0.74,0.76
8.1,24.03,1.42,0.64
5.28,81.43,4.86,0.51
8.36,25.43,1.48,0.68
4.7,41.52,5.85,0.82
4.38,31.19,4.53,0.13
5.78,77.05,2.86,0.02
25.17,108.45,5.4,11.23
10.38,38.02,2.5,0.28
9.01,65.89,2.18,3.92
17.05,74.54,0.5,0.19
12.89,80.51,3.93,0.61
8.17,46.19,0.44,0.35
5.22,40.67,3.69,1.18
1.29,64.87,3.14,0.58
10.4,3.41,7.77,4.92
6.04,56.41,5.24,0.11
50.25,17.86,0.08,0.01
11.91,46.22,1.66,0.25
7.11,27.47,2.08,0.08
26.58,81.56,1.29,0.26
18.25,25.17,4.99,5.31
7.85,79.66,4.85,0.49
28.76,91.81,4.28,0.54
12.03,71.52,5.56,0.42
17.22,40.25,1.2,0.63
11.92,86.42,3.36,0.73
7.15,26.04,0.24,0.11
4.61,52.6,5.12,0.67
8.4,70.77,3.38,0.61
3.8,50.94,10.37,0.64
15.95,38.78,4.57,0.11
14,51.78,2.05,1.08
0.45,37.66,2.42,27.86
2.39,38.84,0.08,0.53
8.38,17.48,1.14,0.17
13.08,45.14,9.6,5.2
4.37,91.96,2.6,1.12
13.45,60.08,4.01,0.59
8.53,19.29,2.58,0.47
19.42,70.61,0.46,-0
9.67,148.95,2.26,-0
0.1,90.87,3.95,0.63
13.65,49.36,2.81,0.54
2.94,11.21,1.73,0.77
12.1,49.11,-0,1.77
12,34.89,3.93,2.49
14.21,54.56,0.28,0.76
23.43,83.18,7.28,2.98
7.89,41.53,0.56,0.28
5.6,22.21,0.93,2.99
3.31,42.27,1.74,0.78
9.51,64.98,1.31,1.33
11.5,71.19,13.73,0.48
6.73,51.68,5.71,0.36
12.45,68.5,12.47,0.47
20.3,72.97,1.09,0.14
10.52,10.5,0.36,0.61
3.02,17.53,0.61,1.38
10.29,25.7,5.19,0.13
2.54,52.78,0.68,0.14
5.19,54.23,2.1,0.48
14.43,31.17,0.33,0.8
7.04,50.73,3.84,0.8
7,35.71,0.58,1.83
0.6,31.5,0.11,1.57
5.95,147.06,1.58,1.67
8.18,32.4,4.19,0.74
3.92,56.78,0.1,-0
13.02,60.45,0.46,0.88
21.44,111.53,0.76,0.72
11.85,77.39,4.06,0.27
23.46,17.54,4.53,0.3
0.61,70.47,0.41,0.01
5.05,38.28,2.65,0.62
0.91,36.83,0.37,0.84
5.84,30.61,2.62,0.11
7.51,47.96,0.29,1.29
9.33,61.97,2.81,0.6
4.17,37.91,4.77,1.4
4.44,45.76,10.08,0.03
13.52,62.12,3.43,0.78
15.11,42.83,1.49,-0
7.05,17.08,1.03,0.33
9.82,76.02,1.5,0.01
16.54,22.39,1.24,0.25
9.55,6.93,7.94,0.91
15.91,41.45,0.17,0.8
3.74,94.78,0.61,0.85
3.1,58.76,15.8,2.92
33.57,41.63,2.74,0.58
2.39,8.15,0.27,0.78
9.7,113.5,2.71,3.44
5.89,62.26,1.32,0.37
6.96,51.21,10.02,3.16
7.81,230.65,3.15,0.92
14.14,44.91,3.29,0.08
7,105.75,4.27,0.86
15.7,23.06,1.69,0.12
14.3,63.05,3.24,0.73
12.87,49.13,3.56,0.33
24.87,46.29,1.68,0.8
2.49,115.81,2.28,2.78
1.59,51.83,4.26,0.04
6.99,32.06,0.38,0.43
17.06,67.74,1.24,0.14
8.77,44,0.43,13.78
4.74,27.75,3.77,0.58
2.73,131.33,7,2.43
29.55,108.84,6.37,0.46
1.09,8.71,0.15,0.45
0.01,30.59,1.52,1.28
23.22,33.18,4.56,-0
1.31,34.12,1.21,0.8
5.37,22.75,6.95,0.24
1.21,61.44,0.54,0.2
1.03,33.29,5.96,0.57
5.03,44.23,9.59,3.2
9.65,59.22,1.44,0.48
9.88,67.7,2.95,0.8
5.58,79.47,1,5.48
2.13,25.57,1.97,0.46
1.44,15.29,3.2,0.34
3.93,27.23,1.1,0.29
6.61,53.98,0.78,0.02
0.79,19.22,7.07,0.31
0.65,54.1,2.44,0.39
7.62,39.81,0.85,5.5
12.52,37.77,1.53,0.45
6.06,49.05,1.11,1.25
5.21,26.45,0.22,0.32
24.5,66.62,1.42,0.74
5.9,56.62,0.79,0.78
6.78,23.49,1.69,0.3
5.63,36.71,0.03,0.9
7.6,45.91,5.44,0.16
18.07,52.38,1.2,0.09
0.04,30.01,1.47,-0
7,64.48,0.55,0.86
32.19,108.68,4.48,0.11
5.08,25.18,4.49,0.7
3.51,35.19,79.7,0.28
4.51,50.46,6.39,0.55
7.78,42.7,2.93,0.15
20.13,21.54,2.89,0.62
0.11,43.66,2.75,-0
6.03,46.16,6.47,0.32
8.81,18.94,1.59,0.07
5.69,58.57,0.19,0.35
0.78,3.27,24.56,0.98
11.31,29.34,0.66,2.84
7.18,34.47,0.12,3.98
11.87,52.48,1.26,0.79
0.59,52.99,15,0.06
0.09,61.25,0.27,2.36
-0,58.43,6.99,1.23
8.78,37.07,7.39,1.04
5.45,18.48,0.43,1.71
5.51,37.67,1.43,0.02
6.75,34.3,2.16,1.11
9.75,48.77,3.04,0.34
24,87.28,2.1,0.73
6.56,11.04,0.25,4.39
11.5,22.42,1.92,0.61
13.6,96.48,3.67,0.4
5.34,33.57,32.8,3.91
4.72,77.27,63.6,1.8
9.16,48.92,2.37,0.22
14.25,47.85,2.79,0.76
4.37,29.93,0.8,0.28
3.84,71.69,2.67,0.35
3.6,87.54,3.69,0.57
3.92,46.32,0.42,0.66
10.28,14.66,1.22,0.7
17.3,33.65,2.99,0.45
0.22,31.63,4.19,0.77
4.99,92.43,2.91,0.8
3.34,39,1.7,1.07
8.22,46.45,2.42,0.88
23.67,36.8,5.49,0.74
7.51,23.59,1.31,0.6
19.3,71.35,16.07,0.01
13.9,22.74,8.58,5.21
5.23,39.44,5.18,0.32
10.92,32.61,5.31,-0
10.14,62.92,1.95,1.46
3.41,34.11,8.6,-0
7.28,58.28,0.85,0.23
2.9,55.33,1.67,0.56
5.16,26.26,3.46,0.89
7.8,64.58,10.52,0.68
9.88,38.89,3.98,0.73
7.35,52.46,0.44,0.55
16.7,38.55,5.93,1.34
46.28,96.45,0.58,0.46
9.39,26.97,0.12,0.57
0.1,30.35,2.87,1.76
0.66,26.33,0.3,1.18
4.37,53.59,0.73,0.9
17.93,121.9,10.27,0.22
13.31,12.06,4.61,0.44
3.38,55.73,2.61,0.76
5.9,29.64,4.58,1
1.55,83.25,0.87,1.05
4.65,36.34,1.62,0.38
10.79,42,2.44,0.24
8.92,111.12,4.23,0.05
16.82,49.93,2.46,0.07
13.79,83.92,4.55,0.78
2.11,29.1,0.16,0.74
21.02,36.47,2.62,0.21
3.82,22.23,5.15,0.44
4.31,18.56,4.31,0.73
6.38,27.44,0.27,2.09
0.39,62.24,0.13,0.64
9.41,34.25,0.23,0.25
17.7,58.93,0.15,2.45
3.52,67.48,2.31,0.4
1.88,89.65,0.22,0.39
9.27,27.48,3.69,0.84
32.96,43.6,8.02,0.31
3.69,23.61,2.13,0.85
6.79,45.79,0.03,0.82
11.13,121.05,5.86,0.37
2.83,76.7,2.62,0.34
11.38,35.24,5.82,0.91
0.24,40.89,0.43,0.43
0.8,71.54,4.58,-0
3.13,22.09,1.88,0.72
7.88,63.96,4.46,0.91
12.43,80.17,3.62,2.15
12.62,73.36,0.44,0.6
10.36,39.38,0.19,2.83
2.88,56.66,1.95,0.7
1.41,44.96,0.31,1.75
10,40.43,0.45,-0
18.32,61.63,0.16,1.39
4.09,22.2,1.71,0.33
8.98,140.66,3.24,0.02
22.57,31.96,0.84,0.7
4.36,23.64,2.01,0.61
3.16,59.98,1.57,0.59
6.08,51.77,0.56,0.13
1.77,28.8,3.8,5.56
11.72,82.65,9.48,0.06
12.23,39.83,1.18,0.27
0.65,69.98,1.19,52.25
3.01,66.08,5.43,0.44
1.2,49.37,4.87,0.44
8.75,33.72,2.54,0.3
5.89,63.33,9.84,1.95
9.05,56.84,4.43,0.14
15.58,62,4.49,1.7
1.96,41.37,1.3,0.53
4.46,71.66,0.61,0.05
19.86,37.75,4.54,0.2
2.55,72.1,0.77,0.55
0.07,31.14,2,0.52
7.16,103.28,1.2,0.12
3.08,47.85,2.16,0.94
2.1,74.73,5.27,2.68
0.85,67.03,1.19,0.33
9.95,32.56,2.99,1.43
15.27,100.21,0.05,0.68
13.22,91.78,6.4,0.91
0.22,53.21,7.48,0.4
4.84,87.77,4.42,0.71
6.67,69.3,1.13,0.94
3.73,54.68,0.62,0.12
0.29,18.97,0.88,0.15
7.5,42.22,8.32,0.41
2.63,33.62,1.31,0.53
2.61,43.51,1.54,0.03
2.32,45.81,1.78,0.87
6.09,44.44,2.28,0.85
0.69,57.79,8.82,0.85
11.33,49.91,3.37,0.38
7.77,80.55,1.87,0.12
13.46,33.97,12.7,0.39
9.54,50.63,2.72,0.38
7.84,62.54,2.72,0.15
23.36,98.57,0.81,1.79
12.29,87.12,5.08,0.45
6.72,135.76,11.05,0.7
20.66,68.49,0.38,0.33
4.28,43.83,17.61,0.43
8.05,37.21,8.78,0.88
5.52,72.44,3.75,0.69
14.52,79.91,4.23,0.65
15.7,38.49,5.59,1.24
3.61,50.06,0.78,0.03
5.28,49.16,3.21,0.83
12.57,51.73,6.6,0.87
1.24,20.07,11.37,0.4
3.46,88.65,3.68,3.49
0.24,26.55,123.23,0.78
8.76,61.18,9,0.42
9.73,39.85,0.58,0.7
16.77,40.31,2.71,8.55
8.99,61.25,0.58,0.44
13.77,63.09,0.84,-0
7.4,43.69,4.04,0.49
20.26,71.08,6.21,1.68
0.69,66.54,2.91,0.43
18.38,52,0.85,0.97
12.59,71.3,1.37,0.98
1.6,24.67,0.06,0.19
32.95,18.99,7.74,0.15
13.2,60.88,5.04,0.54
31.72,75.81,0.31,0.18
7.81,67.48,3.58,0.59
8.05,52.75,0.21,3.24
5.32,45.89,4.49,0.26
25.33,52.93,0.49,0.86
2.17,40.25,8.73,0.62
5.34,85.58,3.34,0.34
16.37,52.87,0.03,1.2
11.21,62.3,2.88,0.59
16.42,36.89,5.43,1.04
16.11,148.98,13.47,1.51
5.25,67.15,2.96,0.05
19.34,105.85,1.71,1.25
6.8,61.66,1.35,0.09
1.02,29.38,2.05,0.25
8.97,28.78,1.81,0.56
2.39,41.1,5.79,0.62
4.38,27.71,0.22,0.8
17.64,22.16,6.33,0.05
8.38,44.26,4.4,0.66
1.91,142.48,4,0.57
6.68,71.63,5.1,2.28
29.02,34.02,4.73,0.73
4.94,58.96,1.87,0.66
23.02,29.57,2.07,1.77
6.27,50.45,3.15,0.02
7.53,56.65,0.19,0.59
6.99,42.04,6.05,-0
1.66,73.01,2.93,0.49
0.78,46.1,0.98,0.94
13.78,43.24,1.82,1.82
25.63,42.91,1.16,0.3
7.81,61.2,10.37,2.18
4.11,48.08,0.14,0.05
1.88,35.74,0.63,0.37
30.15,59.84,7.81,0.89
16.15,63.44,2.97,0.31
6.26,46.3,2.78,0.64
1.99,54.06,1.03,0.73
