pCD3z(),pSLP76(),pErk(),pS6()
4.93,13.11,14.55,23.42
30.58,20.26,35.92,51.09
11.6,13.39,8.23,19.24
24.42,5.78,3.42,57.01
7.12,14.1,9.87,25.83
10.5,10.78,1.91,5.4
15.67,5.55,0.96,3.91
7.1,9.98,16.22,27.68
15.46,5.08,18.25,17.55
12.96,29.54,10.55,23.13
15.98,11.55,15.84,37.78
5.1,25.2,10.48,59.19
8.69,2.75,3.25,6.12
12.26,7.61,11.18,24.76
20.56,24.57,7.82,12.03
8.06,23.3,24.25,41.52
19.1,6.36,9.08,42.47
6.22,9.87,6.79,17.4
13.66,15.06,9.91,12.93
10.83,16.44,21.27,43.97
12.46,8.43,7.18,13.84
4.66,4.2,5.11,6.45
8.13,20.92,7.53,25.06
12.12,10.33,6.26,9.73
8.67,3.16,1.06,6.59
3.93,1.38,1.6,8.83
16.96,3.17,2.97,5.22
12.83,23.19,8.96,14.7
2.06,8.65,7.02,5.21
5.15,9.13,5.63,62.89
6.42,14.36,4.68,21.32
8.29,9.06,10.59,15.44
3.55,5.14,2.34,10.88
10.56,12.46,5.08,5.55
12.79,5.84,4.26,15.64
5.31,13.27,14.59,64.73
0.34,15.86,7.41,9.5
4.05,1.09,0.72,8.88
6.18,12.17,3.07,16.38
1.4,1.75,1.22,4.52
8.95,22.93,9.32,14.75
3.39,7.83,7.72,15.18
22.61,7.15,0.48,11.61
1.84,3.52,8.16,25.71
16.14,14.16,7.2,8.34
24.16,12.03,6.88,30.68
4.31,0.51,7.96,20.71
10.01,7.67,3.64,4.17
4.22,2.92,7.13,20.2
9.13,5.08,6.42,18.78
25.23,59.69,24.02,34.76
4.23,2.82,1.89,10.99
21.52,4.53,6.93,17.65
16.47,4.19,4.27,22.17
17.51,6.25,1.14,10.35
6.04,10.12,6.71,13.96
11.06,5.4,11.89,13.32
7.93,33.86,16.4,21.94
8.26,10.62,8.55,16.4
9.63,8.92,2.89,8.63
1.6,11.11,7.42,15.37
1.02,5.11,8.53,65.69
13.75,4.24,4.66,10.01
15.01,9.24,4.04,8.27
15.7,7.69,4.35,11.3
13.35,10.39,8.23,29.25
-0.74,11.67,4.56,10.32
12.33,18.59,10.07,6.57
37.72,54.24,32.8,40.2
4.4,28.28,7.31,11.46
10.65,5.95,2,9.96
8.55,9.33,6.16,11.21
2.51,4.4,2.35,4.29
23.15,26.85,7.75,11.2
11.87,18.07,4.76,17.4
24.25,16.02,4.24,7.1
4.61,12.27,3.24,14.53
6.74,38.4,15.41,19.98
7,17.89,16.9,39.21
10.51,10.21,23.76,25.79
7.1,9.99,3.77,6.74
33.74,55.67,19.56,23.86
5.24,4.27,8.68,15.47
1.31,5.08,2.07,6.18
2.66,8.56,3.26,11.24
22.16,17.85,2.63,4.93
9.73,14.54,9.58,20.05
38.66,34.29,22.37,34.5
4.4,8.79,6.79,10.49
0.82,7.55,8.18,16.46
21.09,5.77,2.63,3.78
4.18,5.56,3.34,12.22
11.18,6.83,6.09,56.37
4.86,6.73,27.24,59.6
18.86,14.85,7.59,3.76
4.83,22.73,11.98,17.18
22.34,13.78,11.73,29.81
9.79,15.77,4.41,14.7
15.85,7.34,2.56,12.37
4.8,20.82,8.49,29.13
7.88,5.79,3.06,2.97
2.01,0.05,5.48,12.33
8.82,31.75,19.23,16.51
13.18,31.67,15.7,12.32
2.94,5.83,4.49,7.11
7.7,7.89,4.21,8.41
1.95,13.71,4.54,20.55
9.09,10.53,6.41,14.49
3.9,3.33,2.3,3.35
9.91,15.25,7.61,8.57
17.45,0.92,4.66,17.58
14.67,37.53,12.34,12.86
8.92,7.41,6.78,22.25
8.61,15.46,9.19,57.47
1.1,1.12,17.04,40.88
19.12,8.26,15.55,25.17
4.98,2.22,-0.3,19.57
12.56,13.59,4.04,9.93
34.36,48.29,14.02,16.49
6.44,10.38,5.98,32.68
18.8,4.37,2.33,11.21
4.09,3.32,5.82,10.46
2.77,2.63,2.37,3.92
6.54,12.01,1.42,18.32
3.47,21.19,13.82,57.85
7.3,25.66,12.67,27.33
6.37,16.54,6.14,8.31
6.71,1.04,3.01,17.42
3.6,7.29,7.33,26.85
13.99,5.39,3.18,5.87
27.87,21.27,12.31,33.75
6.45,3.87,1.05,4.95
7.14,5.15,7.11,9.34
26.86,22.97,5.9,21.45
12.71,9.26,3.62,15.81
13.13,6.75,1.63,17.93
13.08,3.69,0.43,5.19
7.98,12.54,7.72,26.44
22.34,6.1,9.86,15.63
10.85,18.79,6.47,22.81
4.29,8.01,6.15,8.11
2.16,9.53,12.99,16.03
19.8,29.22,14.66,18.4
4.02,12.82,10.24,14.46
4.86,4.24,2.54,5.64
9.14,11.87,8.01,12.87
4,22.78,8.53,15.57
1.8,9.56,7.06,22.64
7.25,12.53,7.21,17.8
5.51,1.52,19.59,84.2
11.62,1.04,2.36,6.75
9.85,12.25,6.63,24.26
1.35,2.8,5.33,11.71
20.41,2.02,1.88,10.33
4.05,10.31,6.3,18.05
8.15,25.55,15.86,11.28
16.93,16.24,2.41,18.27
4.56,7.2,1.21,2.47
4.87,10.56,8.65,17.55
5.17,3.81,15.85,26.89
7.63,12.8,4.8,12.04
23.23,24.81,9.22,12.02
11.15,4.93,12.27,26.54
19.33,7.4,6.92,9.85
3.7,16.83,26.3,57.96
15.18,13.74,4.89,36.21
10.54,18.09,7.44,6.04
3.52,6.76,21.22,92.01
8.37,5.23,4.82,17.95
6.94,35.92,12.95,26.68
1.08,0.99,1.95,4.97
10.22,12.07,12.04,18.17
22.02,2.64,1.99,3.38
10.09,1.54,2.32,4.81
4.38,10.27,3,7.33
5.54,12.35,5.31,13.07
14.34,1.15,0.23,4.22
9.52,5.36,7.7,28.06
12.82,24.58,9.89,62.47
1.38,8.36,4.59,16.88
16.55,23.05,6.24,14.96
11.16,20.12,6.02,23.71
6.96,3.99,3.12,1.13
3.9,2.41,3.24,26.48
20.77,19.77,7.4,14.45
4.45,9.49,8.55,17.53
1.46,12.39,5,16.92
8.2,6.64,4.89,6.65
8.85,1.37,2.66,13.02
2.64,1.33,1.97,9.42
3.17,6.3,3.44,24.33
9.2,19.04,12.07,14.43
12.08,7.84,6.88,8.62
6.28,2.04,1.12,7.65
4.02,9.88,3.35,9.51
9.88,11.96,5.62,12.29
29.48,3.51,1.3,17.07
2.68,3.09,2.74,10.04
13.31,16.45,6.18,11.1
11.36,5.4,4.75,72.78
21.35,4.32,5.03,18.49
11.81,4.03,0.47,12.14
16.25,29.48,10.02,10.51
12.74,21.18,12.18,17.88
6.47,21.79,5.14,23.96
9.33,4.37,0.75,38.19
4.61,8.94,2.83,7.19
8.83,1.87,2.66,7.45
6.39,3.47,7.43,11.24
1.53,2.55,5.9,10.25
9.58,10.38,5.42,14.3
7.99,8.55,3.16,17.73
6.26,6.09,6.53,19.92
32.09,13.73,16.08,128.54
2.55,0.89,1.06,0.99
8.73,17.78,3.34,10.01
14.29,13.14,18.98,33.94
17.91,6.4,3.78,11.93
3.2,3.71,2.37,6.44
10.58,6.16,6.38,27.55
19.15,18.23,2.82,8.54
20.32,33.76,11.91,10.92
4.73,7.55,6.99,24.13
17.91,2.52,3.95,20.14
16.37,33.02,14.1,8.19
11.59,12.73,10.23,28.53
1.18,19.5,10.06,16.61
24.91,4.94,7.94,26.29
1.6,9.42,16.74,19.92
8.02,5.72,7.37,27.46
5.19,3.88,3.06,8.67
22.25,12.71,20.16,78
3.37,5.81,6.52,6.55
5.77,10.33,5.08,7.35
15.75,9.28,29.83,67.22
12.44,20.26,13.01,8.67
6.29,4.5,0.53,1.32
14,25.65,13.58,19.38
6.35,9.34,7.07,37.11
32.95,4.62,2.45,21.67
11.03,13.09,10.22,10.83
2.18,1.68,31.6,113.74
10.47,4.88,4.82,4.25
5.66,18.32,18.38,35.59
20.93,11.56,4.75,10.87
5.01,6.17,2.25,10.37
12.15,11.89,15.12,35.86
1.67,8.64,4.53,10.24
14.19,12.08,6.22,9.48
8.07,3.29,0.49,10.79
7.32,5.76,2.81,13.92
11.33,14.23,9.02,12.33
1.71,4.72,3.34,3.73
11.35,5.31,4,10.46
11.96,4.05,1.65,6.16
7.27,5.51,4.12,7.88
6.42,2.83,4.42,10.64
12.55,18.85,12.18,13.33
11.09,8.2,2.62,38.91
10.23,19.72,9.16,13.43
9.3,8.51,7.8,12.75
8.96,5.32,3.59,10.14
3.48,10.46,3.15,1.4
2.24,1.59,1.33,6.55
22.77,4.59,1.07,10.52
7.56,7.03,2.74,35.16
11.75,3.64,1.88,8.19
21.16,40.88,9.92,27.38
25.88,19.49,6.56,9.13
9.07,8.22,2.98,55.07
8.75,6.24,1.82,5.58
4.52,2.68,2.05,2.15
32.94,13.31,4.95,16.36
1.23,8.17,5.56,14.64
11.75,2.7,5.34,5.29
15.97,13.7,4.63,16.11
10.24,1.21,1.22,0.14
11.25,10,1.24,1.05
12.63,6.89,2.9,4.35
3.04,10.57,5.41,15.32
3.89,1.47,4.05,9.1
11.3,20.15,33.11,57.97
6.4,12.64,8.59,6.04
9.65,9.23,1,7.71
24.39,8.76,9.16,50.63
26.23,5.31,3.6,13.55
8.77,6.04,6.09,18.53
0.73,0.73,1.48,24.77
15.15,11.39,1.56,24.11
10.94,15.89,8.76,17.2
3.33,2.28,0.67,32.54
5.94,5.31,0.53,3.46
8.24,12.44,7.54,17.6
16.25,13.75,7.53,20.89
3.09,11.76,3.41,14.35
27.47,2.69,5.61,10.47
11.96,31.84,4.04,35.45
29.84,7.52,2.06,5.2
22.4,18.35,11.64,31.39
32.76,18.22,12.4,13.45
2.4,1.66,2.02,13.95
0.37,0.97,1.2,7.46
8.29,5.09,0.22,13.9
33.61,11.54,2.14,6.71
14.55,0.79,0.71,3.37
5,14.84,22.52,44.38
5.98,8.91,1.4,12.77
5.85,0.8,5.53,12.1
3.97,9.09,4.34,9.18
14.56,14.29,6.66,10.21
37.56,17.34,11.41,19.66
6.6,19.66,8.44,7.09
11.51,11.72,5,13.63
19.76,11.25,4.9,11.71
1.23,23.94,14.44,26.18
9.52,11.18,4.52,9.36
28.45,46.25,13.36,65.37
1.22,6.1,-0.15,4.94
24.96,9.8,1.83,11.18
3.74,13.89,14.41,45.26
5.26,6.51,2.94,12.85
13.37,1.5,5.35,14.82
11.52,32.29,13.85,30.81
17.02,14.78,9.44,15.03
12.11,12.81,10.34,20.06
21.04,2.82,19.15,53.28
6.52,17.53,4.11,9.84
4.64,3.12,7.13,11.8
20.71,13.18,6.02,26.37
6.67,32.59,13.37,28.93
26.46,5.93,6.92,16.2
24.44,11.17,5.14,7.66
8.62,8.08,6.73,24.9
19.64,7.59,11.21,5.97
7.79,10.17,2,7.64
21.17,12.23,5.39,11.7
17.41,3.52,2.98,16.91
23.2,40.31,15.82,12.05
6.64,50.59,14.03,21.48
9.87,7.28,1.18,24.77
13.13,2.13,0.09,15.77
2.08,10.09,6.17,30.86
14.56,6.23,1.72,8.48
9.49,6.34,3.51,5.09
6.5,3.06,1.16,3.7
11.6,7.99,4.51,22.39
17.16,8.07,2.93,5.26
3.54,13.96,12.8,26.71
14.25,23.14,14.53,19.43
5.59,11.07,5.23,11.8
17.74,3.87,1.45,1.09
24.5,5.78,3.71,55.3
5.34,9.42,7.82,10.02
22.69,7.99,2.3,31.04
0.91,8.22,5.16,10.44
11.72,98.45,32.18,37.34
14.27,7.38,7.46,5.64
5.78,2.75,2.03,5.78
-0.09,1,1.76,1.11
10.45,12.84,9.08,21.17
5.03,7.72,5.49,17.97
11.07,7.56,3.17,6.34
14.51,21.37,7.16,8.82
11.36,13.53,11.52,21.06
11.73,8.57,17.55,22.45
22.51,11.8,8.58,37.91
18.94,4.83,2.3,18.82
5.93,0.49,1.89,3.07
27.82,8.64,2.83,4.86
8.88,8.22,6.54,14.34
7.07,9.09,11.99,17.03
9.19,5.54,4.06,5.8
11.62,3.78,1.15,5.91
6.49,1.34,2.67,2.71
20.65,14.49,10.06,34.36
13.45,7.59,3.36,6.01
12.94,11.89,2.03,17.06
30.1,32.18,16.28,34.67
15.68,3.09,2.15,7.66
27.67,15.47,10.87,20.31
1.52,0.99,7.4,10.69
4.77,3.15,3.48,13.21
11.32,20.87,14.76,30.01
11.76,7.24,4.02,36.39
20.8,21.5,13.49,23.76
4.88,20.49,8,13.01
5.01,14.68,3.57,4.44
1.77,3.36,4,8.18
19.91,17.27,6.99,29.08
12.77,13.6,6.61,29.37
10.56,6.96,2.82,11.68
13.71,1.4,2.92,21.94
25.78,6.75,4.34,11.79
12.72,6.47,7.25,9.07
4.82,11.35,9.73,34.63
18.44,32.78,10.38,19.15
7.2,16.3,8.07,13.99
10.34,2.95,0.01,8.08
2.11,3.84,3.43,6.2
8.9,27.47,18.87,18.15
6.89,10.24,7,18.78
3.63,25.45,8.62,14.43
48.72,7.7,11.02,26.77
10.42,16.48,8.34,21.34
4.46,4.91,1.97,5.26
13.95,12.89,12.62,26.71
15.94,6.09,10.67,15.36
9.83,6.94,8.14,36.57
5.11,31.03,16,25.01
30.74,8.69,5.68,24.72
5.76,32.25,22.82,29.93
12.85,3.38,5.99,11.15
2.43,17.21,20.56,28.23
3.35,20.42,4.31,7.6
9.77,11.25,3.15,12.37
18.55,13.63,9.01,23.2
19.27,22.69,11.12,8.52
10.16,1.31,1.52,12.76
2.79,16.86,11.04,13.16
5.84,15.01,6.44,11.21
7.61,9.99,7.52,15.79
41.1,18.95,-0.08,6.7
16,5.24,6.45,30.51
10.96,20.85,6.05,4.91
7.25,19.07,12.03,30.7
9.32,7.44,3.89,38.08
11.82,23.54,14.89,22.15
7.08,4.54,0.58,6.79
25.48,16.43,10.57,13.26
3.31,4.73,2.11,1.18
5.71,10.71,4.64,14.84
24.07,9.91,6.55,4.49
12.12,14.1,6.55,14.28
21.02,33.84,16.07,21.55
24.51,10.11,7.14,12.23
4.39,3.47,4.39,14.62
8.54,21.72,14.29,13.62
11.9,19.99,12.67,843.11
2.93,12.28,6.1,60.6
24.59,14.08,5.37,33.39
