k1,k2,k3,k4,k5,cost
0.631253,0.027948,0.17977,0.660829,0.157542,0.0654757
0.789272,0.0218422,0.184955,0.621087,0.159577,0.0692885
0.746527,0.057336,0.194672,0.550149,0.179097,0.0769741
0.768669,0.0456408,0.193586,0.691465,0.178097,0.0693723
0.757957,0.0682021,0.191258,0.775318,0.196134,0.0712433
0.544731,0.0407696,0.178294,0.627769,0.1615,0.0707555
0.658138,0.0397045,0.177585,0.801657,0.17579,0.0683448
0.659789,0.0294184,0.174587,0.69941,0.163589,0.0641734
0.524721,0.0445239,0.187212,0.785957,0.176479,0.0674692
0.562278,0.0248249,0.173606,0.653729,0.160505,0.0659777
0.466475,0.0384055,0.176022,0.661684,0.161554,0.0685545
0.461434,0.0504401,0.188571,0.690139,0.173246,0.0743934
0.75654,0.0829508,0.206622,0.845798,0.203591,0.0751789
0.599631,0.0605168,0.185165,0.595527,0.180431,0.0788193
0.558773,0.0535925,0.18142,0.667543,0.170039,0.0755926
0.873094,0.0504906,0.190072,0.663347,0.181081,0.0700298
0.518177,0.0387192,0.184216,0.515635,0.175148,0.0779267
0.679603,0.0437035,0.182299,0.677039,0.174306,0.0730332
0.673752,0.0246744,0.175228,0.691669,0.157225,0.0663258
0.676248,0.03855,0.181161,0.694499,0.168573,0.0678629
0.533215,0.0459615,0.184097,0.726281,0.165338,0.0722023
0.679825,0.0442558,0.182466,0.746217,0.177744,0.0684555
0.525621,0.0461944,0.176595,0.745331,0.1673,0.0690943
0.693692,0.0593727,0.194146,0.852122,0.189504,0.0671523
0.473423,0.020542,0.189837,0.570987,0.157113,0.07302
0.322796,0.0387612,0.174271,0.675197,0.160248,0.0731971
0.306097,0.0496466,0.18595,0.730907,0.169134,0.0738357
0.151128,0.0156462,0.163022,0.596261,0.14746,0.0715139
0.782498,0.0385252,0.188202,0.500952,0.164121,0.0758742
0.341143,0.0437178,0.179729,0.654245,0.160869,0.0705912
