pCD3z(),pSLP76(),pErk(),pS6()
0.78907,7.79123,4.18283,23.7664
1.8326,25.2632,12.4437,54.8591
1.1014,13.2122,5.84489,20.9525
1.53521,14.3234,5.61368,77.785
0.970273,12.5759,5.58077,28.2552
0.981391,9.94841,4.21762,13.4634
1.19127,11.4753,4.69438,13.3515
0.852579,7.10703,3.68989,24.0142
1.03876,8.41735,4.30179,22.2084
1.11194,19.9475,9.0682,41.0107
1.14181,10.8185,5.59286,32.5442
0.735487,12.4666,5.81928,57.8248
0.869862,4.88573,2.04277,10.9098
1.0329,8.49745,4.02821,27.8466
1.59786,21.3455,9.12485,28.8144
1.11484,15.7463,8.03109,41.1603
1.35021,13.5289,5.50291,61.5416
0.797558,7.53471,3.42305,22.4793
1.10316,14.0305,6.22976,24.0348
1.10814,13.6142,6.67103,51.7036
1.15585,10.6715,4.51496,14.2187
0.868987,5.90134,2.43235,9.17767
0.999828,13.8081,6.079,32.9849
1.05808,11.7259,5.06451,16.5207
0.84,4.61143,1.72559,9.57251
0.701251,2.53714,1.02055,4.30286
1.22903,10.0769,3.95397,10.6021
1.10814,15.6241,6.85414,23.594
0.675784,5.5548,2.61984,10.8077
0.649147,4.45081,1.93093,74.7162
0.77414,9.7518,4.38475,34.8756
1.00451,9.74327,4.5444,25.7516
0.719397,5.08871,2.1898,15.8381
0.953873,9.19007,4.04742,11.948
1.16551,10.3263,4.17722,19.6163
0.829461,9.56621,4.95476,90.0183
0.625435,6.73548,3.13206,13.5112
0.646219,1.72019,0.643965,13.1171
0.737843,8.0223,3.70542,20.5249
0.71501,2.5322,0.926797,2.83262
0.906727,12.873,5.94176,19.2795
0.74399,6.21611,2.83961,24.3004
1.33588,12.3826,4.92427,21.1148
0.727889,4.71903,2.14502,23.2381
1.17575,12.9397,5.45098,15.9795
1.35197,15.2405,6.38814,39.3899
0.741647,2.81438,1.49272,20.1155
1.05486,8.80677,3.59443,12.5488
0.651196,2.62892,1.26639,14.7165
0.794925,5.47794,2.44415,18.9019
1.52965,36.257,16.4846,56.8137
0.710033,3.38026,1.33479,16.7465
1.39178,13.5358,5.86595,22.9823
1.12687,9.02431,3.69201,30.3277
1.12805,10.8443,4.42375,20.3352
0.82156,8.22557,3.83374,20.1348
0.880694,7.60514,3.51088,17.522
0.876858,16.9222,7.9855,36.9054
0.886544,8.93942,4.14401,16.5239
0.89738,8.27925,3.5043,15.4928
0.750136,6.97662,3.24399,20.9269
0.645343,4.09657,1.91439,69.6687
1.10579,9.05716,3.70409,15.6433
1.20122,12.1106,4.9991,13.6372
1.16288,9.94894,3.99911,14.7188
1.1819,11.601,4.94187,39.1564
0.623092,4.5635,2.2291,18.8582
1.06423,15.1603,6.79519,21.5379
1.92453,35.708,16.4683,49.637
0.802828,13.3842,6.17364,20.7419
1.07359,9.13885,3.64674,22.2921
0.865763,9.47043,4.14899,16.3617
0.659684,4.37335,1.96956,9.80578
1.52732,22.5766,9.71748,24.5141
0.962947,13.6608,6.12051,27.6298
1.35462,17.6545,7.49011,19.7816
0.779697,7.41676,3.20093,18.9451
0.871317,20.88,9.7365,26.4946
0.849662,10.6145,5.67339,47.965
0.952391,9.9895,5.43177,33.8245
0.911135,9.07827,4.03281,12.9158
2.07149,42.8488,19.2045,56.3164
0.827415,5.0726,2.47875,20.2909
0.624555,2.32293,0.98901,8.74439
0.664076,4.77704,2.15831,15.2363
1.38126,17.9576,7.62485,17.6023
1.07594,12.3232,5.40548,26.8794
2.30333,38.0717,16.6848,53.2854
0.744282,7.69689,3.41558,12.45
0.639488,4.44762,2.07705,15.0747
1.34993,12.456,4.9497,11.2674
0.708567,5.06998,2.195,20.3935
1.03056,8.2341,3.63217,81.1822
0.904105,8.01431,5.70931,50.8363
1.25538,15.3932,6.52422,16.7613
0.756864,12.0148,5.64696,22.0703
1.53287,17.5677,7.44685,53.4007
0.931335,11.663,5.26329,24.2705
1.22582,10.978,4.48736,23.2934
0.785263,10.9297,4.99446,43.5511
0.875423,7.65132,3.17959,7.75002
0.732865,3.75187,1.78341,14.1718
1.02002,19.0875,8.69631,24.7905
1.0891,19.9808,9.17593,27.1818
0.760092,5.53657,2.36465,9.67701
1.01651,9.25647,3.89779,9.91746
0.701837,7.40734,3.36884,24.833
0.998656,9.50774,4.26776,18.8216
0.729648,3.49473,1.43972,8.8998
0.964115,10.4546,4.73913,18.9679
1.44828,12.3176,5.01613,30.0207
1.22054,21.0885,9.42289,28.6631
1.02296,8.90127,3.95542,28.8285
0.867522,9.83022,4.37878,71.6554
0.676956,2.73269,2.23022,28.4771
1.46789,16.8479,7.53863,23.3603
0.731988,3.1953,1.257,26.6882
1.07097,11.9743,5.1055,16.79
2.11894,38.8988,17.0034,40.8411
0.862546,7.35825,3.47078,39.5238
1.37071,12.3151,5.048,15.0217
0.735208,3.86335,1.69471,9.79217
0.667296,2.45855,0.909113,5.32544
0.806925,7.40299,3.22021,22.8129
0.717059,10.1344,5.29169,69.4119
0.887719,14.0288,6.50355,37.7645
0.801929,11.3656,5.22186,17.7531
0.870445,5.27762,2.16995,24.1513
0.808684,6.02088,2.68917,26.2206
1.22991,10.7495,4.45471,16.2453
1.84113,23.89,10.1887,45.3228
0.950652,6.2918,2.46021,11.9561
0.970849,7.83436,3.35685,9.84982
1.89936,26.3606,11.0979,35.9835
1.19244,11.4045,4.74562,27.0805
1.0291,9.08412,3.8181,30.5254
1.20328,10.4852,4.16144,10.0709
0.819794,9.51837,4.26356,29.2161
1.41579,15.2152,6.71249,27.4095
1.05017,15.0333,7.03673,39.3932
0.711791,5.24671,2.47943,13.4226
0.795803,7.70791,3.89161,16.3164
1.31217,21.3193,9.53733,27.9573
0.703888,6.57401,3.30882,17.1414
0.78702,4.82514,1.98004,7.30795
0.883038,9.26498,3.9637,16.4326
0.761843,10.3092,4.72134,13.0622
0.785263,6.3859,3.09788,22.94
0.886254,9.80201,4.23519,26.4649
0.806031,4.56561,2.93939,81.8591
1.07272,7.36743,2.89788,10.6991
0.962367,11.3246,4.96067,30.1933
0.654999,2.34595,1.07927,7.38175
1.21293,9.22294,3.70758,16.1907
0.616946,4.97021,2.42441,12.2938
0.912601,14.0286,6.37457,22.6365
1.34525,17.2979,7.38835,32.2199
0.71969,5.11046,2.19328,7.85185
0.728768,7.7202,3.70474,19.0126
0.708272,3.65173,2.26214,25.4605
0.751017,8.38477,3.74683,18.8217
1.32476,19.8755,8.78428,26.9471
0.971146,8.0705,3.90451,31.0482
1.35695,13.6302,5.85273,16.9423
0.782336,9.40504,5.4514,48.4466
1.26474,15.4849,6.57282,51.8845
0.982554,13.3316,5.862,15.5968
0.86488,7.20474,4.35621,80.8462
0.919035,7.76586,3.42966,26.3989
0.789349,16.9691,7.99586,31.3538
0.647097,1.99984,0.740183,2.86295
0.914652,10.3398,4.77113,23.4378
1.75768,16.3419,6.34396,13.7841
1.11574,8.08758,3.08827,11.4184
0.743697,6.93876,3.05307,14.8406
0.74838,7.91804,3.49395,19.544
1.21088,9.23445,3.52302,12.4148
1.01125,8.13542,3.53572,36.9862
0.873645,14.414,6.56554,70.7884
0.626606,3.62454,1.65657,17.3399
1.39266,20.5508,8.92251,40.7935
0.942164,12.2087,5.55062,33.8
0.789947,4.78956,1.98923,6.42353
0.700373,2.83218,1.307,25.8224
1.36983,17.1867,7.40582,30.2211
0.716473,5.15406,2.60718,23.0165
0.716764,6.02145,2.68884,11.7694
0.796974,5.67189,2.35056,7.84604
1.0209,6.77784,2.6388,12.5495
0.663491,2.3187,0.982594,11.8432
0.708277,4.39315,1.86643,28.9144
1.03115,15.4506,6.87697,22.1908
0.969091,8.31426,3.74264,12.92
0.770042,4.54019,1.89262,15.9439
0.645341,6.11241,2.74177,15.8917
1.05106,11.5224,4.99245,20.4263
1.7126,16.8958,6.64112,28.3869
0.664661,3.45382,1.4237,13.7881
1.12219,13.8037,6.26528,20.4074
1.06511,9.4579,3.96102,102.141
1.50389,15.855,6.44404,32.2125
0.990464,8.35676,3.39623,19.1122
1.06189,20.7539,9.50517,28.1158
1.13478,17.4635,8.16163,34.1227
0.863423,11.9584,5.37972,36.2755
0.859321,7.01477,2.92318,50.6401
0.808974,7.11159,3.04237,15.1092
0.961757,5.84398,2.41507,12.8499
0.861074,5.87682,2.76492,11.4919
0.718814,3.41645,1.60584,12.4795
0.925188,8.48764,3.70389,20.6135
0.820099,6.24986,2.56655,23.043
1.00364,7.65622,3.35311,16.7744
1.96465,25.6669,11.3652,169.383
0.631583,2.06186,0.797316,4.02025
0.988123,10.6333,4.51674,11.0184
1.06306,12.9264,6.32327,39.1996
1.37393,13.26,5.42842,21.5194
0.738427,4.02222,1.58646,9.76354
0.895911,7.14025,3.33976,39.1585
1.41023,17.5622,7.40098,20.8574
1.50302,23.7161,10.3211,29.4868
0.753942,5.37159,2.63503,33.9812
1.19829,9.17751,3.60263,30.5455
1.2703,23.0861,10.3832,26.7315
0.954745,13.4508,6.47553,35.0418
0.679297,9.72542,4.67691,20.8931
1.54956,14.5615,6.10971,35.3834
0.69159,5.39841,2.77108,13.1004
0.967332,6.76642,2.95362,26.3129
0.79668,5.14395,2.15209,11.4477
1.94004,21.4637,9.74939,87.5319
0.743405,6.7979,2.95852,11.9408
0.784386,7.4968,3.22575,14.5316
1.22289,12.1123,7.18058,69.0323
1.03817,13.8229,6.06055,15.919
0.799608,4.7719,1.88356,5.22582
