pCD3z(),pSLP76(),pErk(),pS6()
2.93,13.11,14.55,16.42
32.58,20.26,37.92,40.09
13.6,17.39,8.23,16.24
20.42,2.78,1.42,58.01
11.12,16.1,6.87,14.83
11.5,7.78,5.91,9.4
11.67,8.55,1.96,3.91
5.1,8.98,12.22,17.68
10.46,8.08,14.25,18.55
12.96,35.54,11.55,22.13
12.98,7.55,21.84,26.78
3.1,28.2,7.48,45.19
9.69,2.75,5.25,10.12
11.26,4.61,11.18,21.76
28.56,16.57,8.82,14.03
15.06,22.3,21.25,41.52
20.1,6.36,2.08,48.47
9.22,10.87,6.79,16.4
10.66,20.06,12.91,13.93
13.83,11.44,21.27,48.97
14.46,6.43,3.18,5.84
6.66,3.2,3.11,4.45
10.13,20.92,7.53,19.06
13.12,9.33,2.26,6.73
6.67,2.16,0.06,4.59
2.93,1.38,3.6,4.83
20.96,3.17,-0.03,3.22
16.83,23.19,6.96,12.7
0.06,8.65,6.02,7.21
2.15,7.13,4.63,65.89
4.42,14.36,8.68,28.32
7.29,9.06,10.59,21.44
2.55,6.14,2.34,15.88
6.56,9.46,8.08,9.55
13.79,5.84,2.26,12.64
8.31,12.27,16.59,76.73
1.34,14.86,6.41,8.5
3.05,0.09,1.72,11.88
4.18,14.17,9.07,12.38
3.4,0.75,2.22,1.52
6.95,18.93,7.32,7.75
3.39,10.83,9.72,26.18
21.61,7.15,4.48,10.61
4.84,4.52,6.16,17.71
14.14,12.16,5.2,2.34
20.16,10.03,6.88,21.68
7.31,0.51,5.96,12.71
12.01,7.67,4.64,7.17
1.22,2.92,6.13,18.2
6.13,7.08,5.42,11.78
22.23,53.69,11.02,21.76
4.23,1.82,0.89,10.99
23.52,5.53,8.93,10.65
12.47,4.19,1.27,22.17
8.51,6.25,1.14,12.35
7.04,12.12,8.71,14.96
9.06,7.4,4.89,10.32
9.93,34.86,12.4,23.94
6.26,11.62,14.55,16.4
7.63,10.92,5.89,11.63
4.6,10.11,8.42,10.37
2.02,8.11,4.53,68.69
14.75,4.24,4.66,13.01
13.01,12.24,1.04,1.27
15.7,4.69,4.35,9.3
17.35,8.39,10.23,35.25
1.26,7.67,7.56,15.32
12.33,24.59,11.07,11.57
36.72,45.24,24.8,25.2
5.4,25.28,11.31,9.46
15.65,6.95,1,13.96
10.55,13.33,3.16,7.21
1.51,7.4,4.35,6.29
25.15,29.85,12.75,7.2
9.87,20.07,5.76,16.4
22.25,18.02,8.24,5.1
5.61,11.27,5.24,11.53
9.74,42.4,10.41,5.98
5,18.89,22.9,29.21
9.51,10.21,21.76,28.79
10.1,7.99,7.77,5.74
38.74,55.67,26.56,23.86
8.24,4.27,7.68,16.47
2.31,3.08,5.07,10.18
2.66,7.56,6.26,10.24
22.16,20.85,6.63,3.93
12.73,14.54,11.58,20.05
46.66,41.29,15.37,26.5
3.4,11.79,3.79,4.49
1.82,7.55,3.18,10.46
17.09,3.77,0.63,2.78
4.18,6.56,2.34,12.22
9.18,4.83,7.09,70.37
10.86,9.73,35.24,44.6
16.86,14.85,2.59,2.76
2.83,20.73,11.98,17.18
23.34,8.78,4.73,33.81
9.79,18.77,11.41,14.7
15.85,6.34,1.56,12.37
5.8,16.82,4.49,30.13
8.88,6.79,0.06,-0.03
6.01,3.05,5.48,11.33
9.82,27.75,5.23,6.51
12.18,32.67,10.7,8.32
3.94,4.83,1.49,3.11
11.7,7.89,3.21,2.41
1.95,10.71,4.54,17.55
9.09,11.53,9.41,13.49
2.9,2.33,2.3,5.35
9.91,15.25,9.61,10.57
26.45,0.92,4.66,18.58
15.67,30.53,12.34,10.86
7.92,6.41,5.78,26.25
7.61,10.46,4.19,52.47
3.1,2.12,18.04,29.88
24.12,8.26,13.55,14.17
1.98,1.22,1.7,24.57
14.56,15.59,5.04,9.93
37.36,40.29,13.02,7.49
5.44,6.38,7.98,31.68
20.8,5.37,3.33,5.21
3.09,2.32,1.82,8.46
0.77,1.63,1.37,2.92
5.54,11.01,5.42,16.32
3.47,21.19,15.82,52.85
9.3,23.66,12.67,24.33
4.37,21.54,11.14,12.31
10.71,5.04,2.01,12.42
6.6,6.29,3.33,14.85
15.99,4.39,4.18,5.87
30.87,20.27,8.31,24.75
10.45,1.87,0.05,6.95
10.14,6.15,6.11,1.34
33.86,17.97,5.9,16.45
12.71,7.26,4.62,20.81
11.13,3.75,5.63,20.93
18.08,6.69,4.43,4.19
6.98,15.54,7.72,19.44
21.34,11.1,10.86,14.63
11.85,17.79,11.47,30.81
3.29,5.01,6.15,12.11
3.16,11.53,7.99,9.03
19.8,28.22,6.66,8.4
0.02,11.82,12.24,10.46
4.86,2.24,2.54,3.64
6.14,13.87,4.01,9.87
3,20.78,9.53,3.57
2.8,10.56,9.06,16.64
4.25,13.53,3.21,15.8
5.51,1.52,21.59,76.2
10.62,2.04,2.36,6.75
9.85,12.25,8.63,20.26
1.35,1.8,3.33,7.71
15.41,1.02,2.88,8.33
0.05,11.31,5.3,15.05
7.15,21.55,8.86,16.28
21.93,17.24,5.41,18.27
3.56,8.2,5.21,3.47
0.87,13.56,8.65,15.55
3.17,1.81,16.85,24.89
4.63,17.8,-0.2,10.04
21.23,29.81,9.22,8.02
10.15,6.93,11.27,26.54
16.33,6.4,9.92,7.85
5.7,12.83,28.3,41.96
16.18,15.74,4.89,32.21
7.54,22.09,9.44,8.04
7.52,7.76,23.22,66.01
6.37,9.23,8.82,23.95
3.94,32.92,12.95,17.68
3.08,1.99,0.95,0.97
9.22,16.07,9.04,17.17
30.02,-0.36,2.99,3.38
12.09,1.54,0.32,6.81
2.38,11.27,3,5.33
3.54,12.35,6.31,16.07
14.34,0.15,1.23,7.22
8.52,5.36,8.7,29.06
5.82,16.58,4.89,51.47
3.38,7.36,2.59,13.88
16.55,24.05,4.24,22.96
10.16,15.12,11.02,24.71
6.96,3.99,3.12,3.13
1.9,2.41,5.24,22.48
22.77,14.77,5.4,14.45
1.45,6.49,8.55,22.53
3.46,8.39,1,3.92
3.2,6.64,1.89,5.65
14.85,2.37,1.66,7.02
1.64,0.33,2.97,6.42
3.17,6.3,7.44,26.33
13.2,22.04,9.07,8.43
10.08,7.84,6.88,8.62
6.28,5.04,4.12,18.65
2.02,13.88,4.35,9.51
11.88,13.96,4.62,11.29
35.48,3.51,-0.7,17.07
2.68,6.09,2.74,13.04
12.31,17.45,14.18,20.1
11.36,8.4,4.75,79.78
23.35,9.32,3.03,18.49
11.81,6.03,4.47,16.14
12.25,35.48,16.02,16.51
14.74,27.18,9.18,22.88
9.47,17.79,6.14,28.96
6.33,8.37,1.75,41.19
