P1(),P2(),P3()
9.26155,3.43096,9.5161
16.0276,13.7701,14.9074
4.11521,1.32882,3.95742
22.6358,15.9662,14.1148
10.2033,2.86463,2.25654
11.8683,4.94558,-0.292105
13.3325,4.43491,3.73304
3.52818,1.24759,5.89945
23.585,13.2036,14.1811
6.6622,2.09813,3.36188
22.1155,14.9385,13.5718
8.78278,5.31605,7.90291
13.4256,11.4129,6.63889
5.01861,4.6828,6.61101
21.9084,16.8604,9.35476
3.74649,-0.563353,4.52756
21.1977,9.3276,11.0322
3.12704,6.67477,4.70871
10.8038,3.13965,3.33629
11.4842,7.74581,15.966
1.43249,0.940979,7.04117
5.24898,6.09454,5.88783
10.7838,3.37254,9.69677
13.1111,10.81,9.1966
8.11944,4.44999,1.9331
7.05849,3.19355,5.70102
34.6651,12.3373,26.2243
8.44837,-0.259249,5.58514
44.2327,27.2612,27.4207
7.13351,3.20626,7.72842
7.0199,-0.375089,16.502
3.84945,2.75749,1.85844
3.23337,2.23219,3.18271
6.39072,3.66375,4.92023
14.7149,8.43615,22.924
9.9921,14.0635,12.0498
7.48803,3.19869,5.07817
15.3572,4.25119,10.157
11.9493,5.94272,8.16575
6.91479,0.822673,0.279808
11.9033,5.27014,6.53302
3.82874,2.39358,5.47647
18.0639,11.3977,25.193
9.32458,8.36231,1.51587
2.36935,-0.355922,5.10302
15.7165,6.41017,9.69549
5.49076,11.1318,2.35107
23.474,8.71979,12.7975
5.62707,2.3991,0.714765
24.1621,2.38009,4.04439
4.3425,3.90899,0.610357
15.1747,18.7994,20.318
7.27315,3.49119,4.31001
13.7625,2.86588,4.99722
4.33639,1.23741,3.39691
10.4704,6.53693,5.1474
19.156,8.3915,13.4344
26.488,17.8174,20.1358
7.45414,0.514844,2.16253
6.97974,2.77358,3.45673
45.009,19.6628,40.0727
6.99302,0.908619,6.08846
2.61357,-0.093258,4.47393
4.40996,3.22693,1.00005
7.58001,3.38559,9.66884
9.38364,8.19592,4.26373
14.4625,11.4132,19.3034
19.2018,4.77954,22.3334
25.7061,12.1596,15.0889
10.7431,11.3302,9.39448
5.39767,4.25089,2.23296
8.05382,7.5899,4.13648
10.0998,11.2787,7.05111
18.2653,7.44381,12.3067
17.3046,5.60702,4.47148
16.0956,6.97919,7.58968
6.89989,1.33404,2.99059
15.8553,10.8413,12.0601
17.4117,12.5194,11.4435
6.41983,4.24634,3.82714
15.5945,16.7104,22.1584
4.64529,2.40958,2.34129
16.3514,7.9606,11.2246
17.6357,11.8857,17.4587
9.39455,3.15622,11.7954
25.3452,9.53624,11.4297
12.7994,2.03746,3.77668
7.01009,4.29711,1.98518
21.2369,9.16551,14.9401
4.23995,3.12027,3.72272
10.3432,10.8098,9.65975
19.5628,3.21923,13.7669
67.0581,36.179,70.4693
46.2715,14.8561,21.9708
22.0412,15.9793,15.4292
11.4954,7.43892,6.38057
5.71732,4.19514,3.14012
31.0417,8.13441,18.1258
4.47954,6.69423,4.72394
12.9524,9.04618,11.8763
5.98682,0.271449,4.56672
3.42213,3.53568,5.43479
10.4907,6.19974,9.35561
11.5764,5.28083,3.75779
20.3295,5.66844,11.4956
7.18012,5.61659,5.66992
4.01516,4.64928,4.95691
35.7565,22.5849,15.8242
26.846,12.4273,24.1368
14.2556,3.22364,8.52101
