P1(),P2(),P3()
1149.15,772.096,299.61
2275.76,1586.01,608.737
491.521,338.882,109.742
2715.58,1874.62,681.478
796.331,530.463,205.654
824.826,575.558,251.789
1115.25,783.491,251.304
554.817,370.759,141.945
2639.5,1850.36,607.11
639.22,416.813,156.188
2598.55,1755.85,708.18
1168.28,744.605,287.291
1584.56,1126.29,436.889
827.861,571.28,232.101
2510.84,1683.04,618.476
392.649,259.665,118.756
2084.77,1474.76,596.218
748.704,523.477,178.871
851.385,657.965,218.629
1783.42,1249.58,486.604
510.249,300.098,131.117
849.898,632.454,240.783
1231.38,848.254,305.677
1655.11,1196,460.66
745.944,507.999,196.31
833.849,545.355,216.102
3752.51,2556.73,1013.43
680.837,519.075,177.514
5106.27,3483.12,1302.07
957.351,613.626,235.842
1209.99,809.491,295.201
429.945,305.749,110.844
468.337,290.219,106.271
722.072,544.375,231.023
2346.49,1567.62,693.398
1790.21,1314.35,505.977
793.803,588.869,193.817
1503.72,1059.12,413.699
1335.93,923.272,346.575
426.479,279.267,95.9808
1232.33,824.014,314.302
591.874,419.358,158.647
2732.39,1997.77,735.3
974.458,681.231,264.587
346.935,258.408,106.302
1613.65,1127.02,441.549
936.076,695.185,266.107
2318.4,1546.98,633.745
461.707,295.91,116.476
1559.21,1067.01,432.439
460.25,297.899,128.036
2767.47,1870.94,790.805
725.315,579.119,203.001
1096.25,778.588,287.722
451.639,327.741,117.691
1142.04,776.693,296.74
2022.6,1504.15,571.443
3322.8,2224.74,896.58
516.414,360.484,136.253
663.974,489.358,167.673
5237.9,3775.28,1461.27
717.302,493.862,187.846
366.357,243.674,89.3933
450.996,311.693,101.005
1100,688.559,274.884
1064.36,816.592,303.373
2325.25,1555.32,637.336
2368.18,1654.95,608.336
2728.61,1855.96,710.892
1615.31,1122.02,409.448
590.768,458.089,139.296
1044.38,653.99,279.648
1463.98,999.872,379.111
1905.53,1357.38,538.665
1408.46,985.702,344.148
1597.56,1068.92,399.968
569.989,408.404,144.059
2004.53,1317.13,554.01
2138.17,1508.94,490.35
733.983,522.634,192.714
2763.45,1917.04,765.837
464.529,352.958,122.13
1870.14,1212.06,471.457
2354.57,1705.57,637.875
1285.46,870.622,278.538
2359.52,1642.62,628.974
953.943,665.746,241.668
697.009,451.711,180.518
2318.69,1559.55,656.015
541.995,390.028,176.272
1552.32,1115.98,412.975
1841.28,1236.92,576.692
8772.81,6147.9,2449.93
4150.15,3011.61,1148.09
2693.12,1911.93,739.919
1295.55,902.892,333.057
687.732,452.514,165.012
2908.17,2035.44,786.58
807.954,570.423,211.394
1766.24,1188.62,432.634
576.682,363.145,142.672
624.213,427.568,187.479
1305.07,938.974,360.561
1074.64,706.083,280.779
1868.95,1360.84,519.562
954.012,666.659,225.992
695.516,484.928,181.691
3826.65,2579.49,1010.42
3230.6,2270.73,839.676
1376.56,911.365,312.101
493.665,335.168,138.778
2784.7,1895.83,790.749
679.067,459.079,190.436
775.675,558.084,215.681
780.197,572.554,204.756
952.076,622.793,258.327
1797.7,1289.35,523.201
917.671,561.844,198.89
2555.01,1811.98,725.721
2678.02,1868.95,646.356
1742.38,1270.67,477.874
640.533,490.027,186.487
1348.65,923.061,361.238
531.556,354.815,157.119
585.663,405.659,140.757
1398.61,931.591,361.997
1960.94,1341.42,509.862
574.298,428.751,137.211
424.501,293.314,124.832
990.047,673.514,233.782
803.388,540.352,208.018
1642.13,1131.24,381.91
865.288,556.798,214.339
1633.34,1107.26,471.229
3441.24,2333.98,874.331
387.936,280.042,102.708
771.18,513.063,209.128
773.431,514.195,201.051
2257.06,1587.37,605.012
1141.68,755.683,312.309
521.899,313.726,127.81
