time,[S1],[S2],[S3],[S4],[S5],[S6],[S1] Estimated,[S2] Estimated,[S3] Estimated,[S4] Estimated,[S5] Estimated,[S6] Estimated
0,192.796,1463.27,5.251,435.297,5.80954,6.25492,192.796,1463.27,5.251,435.297,5.80954,6.25492
0.666667,1.78845,1150.65,196.258,551.121,0.0296504,12.0348,2.38658,1151.19,195.66,551.176,0.018987,12.0455
1.33333,1.99886,1028.08,196.048,673.904,0.0242301,12.0402,2.66699,1028.2,195.38,674.435,0.015516,12.0489
2,2.26476,905.704,195.782,796.538,0.020492,12.044,3.02098,905.496,195.026,797.494,0.0131218,12.0513
2.66667,2.61113,783.605,195.436,918.981,0.0177581,12.0467,3.48136,783.153,194.566,920.296,0.0113711,12.0531
3.33333,3.08039,661.884,194.967,1041.17,0.0156723,12.0488,4.10345,661.314,193.943,1042.76,0.0100359,12.0544
4,3.75042,540.72,194.296,1163,0.0140296,12.0504,4.98781,540.21,193.059,1164.74,0.00898509,12.0555
4.66667,4.7801,420.442,193.267,1284.31,0.012704,12.0517,6.3363,420.267,191.711,1286.03,0.00813789,12.0563
5.33333,6.54516,301.754,191.502,1404.76,0.0116145,12.0528,8.6124,302.371,189.435,1406.21,0.00744263,12.057
6,10.1457,186.502,187.901,1523.61,0.0107083,12.0537,13.0948,188.725,184.952,1524.33,0.00686602,12.0576
6.66667,19.9115,81.2193,178.135,1638.66,0.00995632,12.0545,24.1874,86.2455,173.859,1637.9,0.00639003,12.0581
7.33333,54.0093,12.6312,144.038,1741.34,0.00936868,12.0551,56.5357,17.7487,141.511,1738.75,0.00601942,12.0584
8,113.191,1.13976,84.8559,1812.02,0.00900246,12.0555,111.801,1.81684,86.2456,1809.95,0.00578255,12.0587
8.66667,151.482,0.480708,46.5645,1850.97,0.00881256,12.0556,150.627,0.672197,47.4201,1849.92,0.00565756,12.0588
9.33333,172.121,0.287131,25.9256,1871.8,0.00871425,12.0557,171.712,0.394003,26.3345,1871.28,0.00559294,12.0589
10,183.154,0.204333,14.8925,1882.92,0.00866269,12.0558,182.967,0.277881,15.0799,1882.65,0.00555915,12.0589
